FIPS,County,State,Vacancy Rate,No Vehicle,Single Parent Household,Multi-Unit Structures,Mobile Homes,Owner Occupied Housing,Crowded Housing,Lack Complete Plumbing,Median Home Value,Median Monthly Mortgage,Median Gross Rent,No Home Broadband,Rent Burden (40% Income)
16055,Kootenai County,Idaho,0.1141989155653545,0.02224782731273213,0.04394825191016439,0.06718111084050095,0.07414148923897299,0.7221144940958555,0.018927992590877518,0.00379138689511461,467400.0,1735.0,1330.0,0.06725928794332703,0.30135916263083895
16057,Latah County,Idaho,0.07866200011475127,0.023898807858062348,0.03917050691244239,0.14143094841930118,0.10901371277755464,0.6063644289450741,0.018682276746792875,0.005355586000747291,342500.0,1666.0,905.0,0.08090542357687136,0.3651320993513685
16059,Lemhi County,Idaho,0.27739430543572047,0.016039481801357187,0.041791044776119404,0.0060396893874029335,0.15681622088006902,0.8134328358208955,0.016417910447761194,0.014925373134328358,282100.0,1368.0,721.0,0.07613194531543965,0.2096
16061,Lewis County,Idaho,0.151947339550192,0.00612088752869166,0.03816300129366106,0.009325287986834888,0.13000548546352167,0.7419146183699871,0.019404915912031046,0.014230271668822769,202400.0,1241.0,708.0,0.139456734808177,0.13283208020050125
16063,Lincoln County,Idaho,0.06943740496705525,0.0031323414252153485,0.05065359477124183,0.00506842372022301,0.22047643182970098,0.7690631808278867,0.023965141612200435,0.0027233115468409588,206700.0,1268.0,860.0,0.10346809733665452,0.1957547169811321
16065,Madison County,Idaho,0.13480939806351142,0.009864533139376307,0.016825794334011584,0.3436251608098043,0.047735120861263455,0.40233213335420254,0.12701518234465486,0.0026608232900297386,365000.0,1566.0,965.0,0.1879874841284237,0.29789184234647115
16067,Minidoka County,Idaho,0.07832035857513564,0.009054837725099196,0.06731507550550295,0.023826374144845484,0.09860816230242982,0.7280522139749168,0.050422318914768366,0.0003839262861530586,235300.0,1317.0,909.0,0.08427995602784899,0.2188235294117647
16069,Nez Perce County,Idaho,0.0673659169550173,0.010192466887417219,0.057739130434782605,0.06206747404844291,0.09137110726643599,0.7217971014492753,0.01652173913043478,0.004231884057971014,291300.0,1623.0,936.0,0.09876543209876543,0.32194207126484686
16071,Oneida County,Idaho,0.06304558680892337,0.001776988005330964,0.020186335403726708,0.0,0.01697381183317168,0.8721532091097308,0.05020703933747412,0.004658385093167702,228100.0,1324.0,1009.0,0.11166199611985339,0.1417004048582996
16073,Owyhee County,Idaho,0.1155527795128045,0.014218009478672985,0.0583804143126177,0.015407037268373933,0.212367270455965,0.708804143126177,0.08168549905838042,0.004472693032015066,281600.0,1485.0,771.0,0.10982849604221634,0.13177041228779304
16075,Payette County,Idaho,0.0471356783919598,0.01223744292237443,0.040713004957282986,0.04180904522613065,0.1342713567839196,0.7449636114333931,0.04862356291530429,0.0037970678198502267,310700.0,1394.0,874.0,0.1171240521919864,0.2109181141439206
16077,Power County,Idaho,0.08513513513513514,0.02833099579242637,0.08345642540620384,0.013851351351351352,0.23074324324324325,0.7455686853766618,0.07828655834564253,0.0,191200.0,1306.0,729.0,0.08116964960927653,0.13352685050798258
16079,Shoshone County,Idaho,0.19286526435474702,0.01890909090909091,0.044550096848036624,0.031836270608300174,0.10375213189312109,0.73833421377003,0.024652227504842403,0.009860891001936961,222700.0,1240.0,880.0,0.09962349397590364,0.34589502018842533
16081,Teton County,Idaho,0.2623003710275851,0.004319332737563301,0.03476929805379401,0.020809808033553798,0.05016938215841265,0.7979444565930461,0.04701508856330636,0.001312048983162038,595900.0,1883.0,1196.0,0.047154202514890775,0.3235930735930736
16083,Twin Falls County,Idaho,0.051386052756720466,0.015963592633639084,0.05885822127860344,0.025679039973146103,0.0731768720803379,0.6959188487850908,0.02615593300306676,0.0027718801604151924,292700.0,1488.0,1011.0,0.06779231091602889,0.24815748642358418
16085,Valley County,Idaho,0.700182525196413,0.05847474953997137,0.017469560614081524,0.018173160860249185,0.08237441472898976,0.8575966119640022,0.015352038115404976,0.0,599500.0,1798.0,1011.0,0.08645193844083765,0.2379182156133829
