FIPS,County,State,Gini Coefficient,Economic Segregation,Racial Economic Segregation,Racial Segregation,Gender Pay Gap,Uninsured Children,Uninsured (Black),Uninsured (Hispanic),Living Below Poverty (Black),Living Below Poverty (Hispanic),Lack_English_Prof
16037,Custer County,Idaho,0.3954,-0.17796171753750648,0.07242628039317124,0.8914078440262979,0.0820937022104824,0.032454361054766734,0.0,0.25396825396825395,,,0.004418604651162791
16039,Elmore County,Idaho,0.4206,-0.10610250737463127,0.07761799410029499,0.6782000963988156,0.2406397879992429,0.08221672954338494,0.01680672268907563,0.24501061571125266,0.0,0.1684549356223176,0.029439200029849632
16041,Franklin County,Idaho,0.4213,-0.004106776180698152,0.15338809034907597,0.8975874957526334,0.27979670475684293,0.12096774193548387,,0.14085820895522388,,0.047058823529411764,0.003309553577995146
16043,Fremont County,Idaho,0.4173,-0.04105636928539725,0.11318242343541944,0.83212904167579,0.32654717253317944,0.05114155251141553,0.0,0.29276315789473684,,0.19607843137254902,0.023939064200217627
16045,Gem County,Idaho,0.4339,-0.041857953011072105,0.11193626789089928,0.8382189986904403,0.3153923627114593,0.1024948024948025,0.0,0.2948577680525164,,0.13122171945701358,0.019511935775426658
16047,Gooding County,Idaho,0.4414,-0.12971698113207547,0.0693033381712627,0.6400254129606099,0.12017784462926917,0.13727272727272727,0.0,0.41195808506266696,,0.1516164994425864,0.07555856465809073
16049,Idaho County,Idaho,0.4282,-0.1492310035023603,0.0765950966955992,0.8977219626168225,0.18934560290443758,0.2227862380146644,0.0,0.3685950413223141,,0.2923076923076923,0.011174219039387579
16051,Jefferson County,Idaho,0.3746,0.009596928982725527,0.14132740680876857,0.8601476701619408,0.3456549030548194,0.04096751160299893,0.0,0.23030303030303031,,0.3239202657807309,0.018634581224653952
16053,Jerome County,Idaho,0.4368,-0.05257379848743596,0.10148816784581605,0.574390834274649,0.3155873104326713,0.09935532802427001,0.0,0.2943654555028963,0.0,0.17014773306164035,0.12090691083496839
16055,Kootenai County,Idaho,0.427,0.015570733966195878,0.15864494095855522,0.859988972408516,0.22170652748414377,0.05435843710564537,0.0,0.15668977105650073,0.0,0.0665907797381901,0.0021437120756492172
