"FIPS","County","State","Met_Breast_Screen","Met_Colon_Screen","Currently_Smoke","BMI_Obese","Physically_Inactive","Binge_Drinking","Sleep_Debt","Cancer_Prevalence","Bad_Health","Poor_Physical","Poor_Mental","Depression","Diabetes_DX","High_BP","High_Cholesterol","BP_Medicine","CHD","Had_Stroke","Asthma","COPD","No_Teeth","Recent_Checkup","Recent_Dentist","Hearing_Disability","Vision_Disability","Cognitive_Disability","Mobility_Disability","Selfcare_Disability","Independent_Living_Disability","Socially_Isolated","Food_Insecure","Housing_Insecure","Lacked_Reliable_Transportation","Lacked_Social_Emotional_Support"
30017,"Custer County","Montana",75.7,64.5,15.5,35.8,25.5,22.3,32,9.1,16.9,13.1,16.5,23.2,9.9,31.1,30.6,77.7,7.1,3.7,10.9,7.4,9.2,71.6,62.7,9.7,4.7,13.8,13.2,3.5,7.5,31.2,9.9,9.7,7,22.2
30019,"Daniels County","Montana",72.9,64.6,15.1,31.5,24.5,19.4,30.9,10.8,18.1,14,15.3,23,11,37.4,34.8,80.4,8.9,4.5,10.7,8.4,11.5,74.1,62.8,11.8,5.2,13.2,15,4.1,7.9,30.8,9.5,9,6.8,20.9
30021,"Dawson County","Montana",74.2,66.1,16.4,35.4,23.7,20.4,33.2,9.2,17.3,12.8,16.5,22.4,9.4,32.6,33.5,77,7.1,3.6,11,7.3,11.5,69.8,61.8,9.9,4.6,14.4,12.5,3.3,7.2,29.1,7.9,8,5.9,21.9
30023,"Deer Lodge County","Montana",71.3,62,15.3,32.8,24.9,19,33.8,10.1,18.5,14.1,15.4,23.5,11.1,38.1,34.4,80.3,8.5,4.4,10.8,8.3,19.1,75.4,62.1,11.3,5.4,13.3,14.8,4.2,7.9,32.6,17.2,13.2,10.4,26.1
30025,"Fallon County","Montana",77.2,64,15.3,33.4,21,21.5,32.8,9.2,15.5,12.3,15.8,23.1,9.2,32.2,31.2,77.8,6.8,3.5,10.8,6.8,9.4,71.8,64.7,9.2,4.3,12.8,11.6,3.4,6.7,28.8,9.4,8.9,6.6,21.3
30027,"Fergus County","Montana",76.5,65.9,14.8,32.4,25.5,19.4,29,10,17.6,13.5,14.8,21.5,10.7,35.4,33.7,79.7,8.2,4.3,10.4,8.3,14.5,74.1,63.6,11.2,5,12.7,14.7,3.8,7.4,29.2,9.8,8.7,6.5,20.9
30029,"Flathead County","Montana",72.2,64.5,16.1,30.1,21.8,21,30.7,9.7,16.9,13.1,16.2,22.8,8.4,31,31.6,76.9,6.6,3.4,10.3,6.7,12.3,70.7,63.7,9.4,4.7,13.9,11.9,3.5,7.2,27.4,8.1,7.8,5.9,19
30031,"Gallatin County","Montana",72.1,64.4,11.8,22.6,15.3,25.6,28.4,7,12.5,9.9,16.2,23.3,6.2,22.8,25.2,70.7,4.8,2.4,10.2,4.5,10.1,65.6,66.3,6.7,3.5,13.3,7.6,2.4,5.8,31.2,8.4,8.9,6.2,20.7
30033,"Garfield County","Montana",73.7,58.9,16.6,32,24.8,19.2,30.9,10.8,18.8,14.4,16.2,23.7,10.8,35,33.5,79.9,8.6,4.3,11.3,8.8,13,73.3,61.1,11.2,5.3,14.3,14.9,4.1,8.2,29.9,9.4,8.4,6.5,21.1
30035,"Glacier County","Montana",67.7,53.4,29.9,35.9,32.8,18.7,39.8,6.8,32,21.4,25,28.5,15,34.7,31.7,74.5,9.1,6.1,14.8,11.4,24.6,70,42.4,13.5,10.3,24.2,20.9,7.1,14.6,39.1,29.7,21.6,19,31.1
