FIPS,Tract,County,State,Total,Under 18,18 to 64,Over 64,White,Black,Hispanic,Asian,Other_Races,Below 9th grade,High School,College,Advanced Degree
49057210408,Census Tract 2104.08,Weber County,Utah,3532,0.289920724801812,0.5130237825594564,0.1970554926387316,0.9459229898074745,0.0,0.02349943374858437,0.0,0.030577576443941108,0.00459866220735786,0.947324414715719,0.229933110367893,0.05100334448160535
49057210508,Census Tract 2105.08,Weber County,Utah,2532,0.2871248025276461,0.641390205371248,0.07148499210110584,0.6844391785150079,0.013033175355450236,0.24684044233807267,0.0,0.05568720379146919,0.01667735728030789,0.900577293136626,0.21103271327774215,0.055163566388710714
49057210509,Census Tract 2105.09,Weber County,Utah,5523,0.29205142132898787,0.616874886836864,0.09107369183414811,0.5430019916711932,0.012493210211841391,0.3749773673728046,0.028969762810066992,0.04055766793409379,0.00572197913160552,0.8875799394143387,0.27398182430158197,0.06159542241669472
49057210510,Census Tract 2105.10,Weber County,Utah,3380,0.32988165680473375,0.605621301775148,0.06449704142011835,0.8159763313609467,0.0,0.1437869822485207,0.015680473372781067,0.024556213017751478,0.005708848715509039,0.8767840152235966,0.18839200761179828,0.048525214081826834
49057210511,Census Tract 2105.11,Weber County,Utah,3914,0.27286663260091976,0.5579969340827797,0.16913643331630046,0.6770567194685744,0.0017884517118037812,0.27491057741440983,0.002043944813490036,0.04420030659172202,0.0,0.8953907815631262,0.21362725450901804,0.06092184368737475
49057210512,Census Tract 2105.12,Weber County,Utah,5399,0.2920911279866642,0.608816447490276,0.09909242452305983,0.7412483793295055,0.0029635117614373032,0.2054084089646231,0.016669753658084832,0.033709946286349324,0.030618686868686868,0.8847853535353535,0.2178030303030303,0.05587121212121212
49057210513,Census Tract 2105.13,Weber County,Utah,6528,0.2653186274509804,0.6864276960784313,0.04825367647058824,0.7697610294117647,0.0027573529411764708,0.17080269607843138,0.03615196078431373,0.020526960784313725,0.011176022352044705,0.904241808483617,0.2778765557531115,0.06959613919227839
49057210514,Census Tract 2105.14,Weber County,Utah,5281,0.3359212270403333,0.5898504071198637,0.07422836583980306,0.7320583222874456,0.007953039197121757,0.1967430410907025,0.02669948873319447,0.03654610869153569,0.011768447837150127,0.9249363867684478,0.23536895674300254,0.07061068702290077
49057210515,Census Tract 2105.15,Weber County,Utah,4798,0.33513964151729886,0.6071279699874947,0.05773238849520634,0.8797415589829095,0.0,0.074822842851188,0.0,0.04543559816590246,0.003538570417551309,0.9274593064401981,0.3294409058740269,0.06546355272469923
49057210516,Census Tract 2105.16,Weber County,Utah,5662,0.29371246909219356,0.5838926174496645,0.122394913458142,0.915400918403391,0.0,0.06570116566584246,0.001942776404097492,0.016955139526669022,0.010428736964078795,0.936268829663963,0.2925840092699884,0.09530706836616454
49057210517,Census Tract 2105.17,Weber County,Utah,4392,0.3237704918032787,0.5730874316939891,0.10314207650273224,0.9428506375227687,0.0047814207650273225,0.019353369763205827,0.010245901639344262,0.022768670309653915,0.00661993769470405,0.9349688473520249,0.2850467289719626,0.0926791277258567
49057210518,Census Tract 2105.18,Weber County,Utah,8673,0.32191859794765365,0.6108612936700104,0.06722010838233598,0.7306583650409316,0.011991237172835236,0.1965871094200392,0.010031131096506399,0.050732157269687536,0.028081457663451232,0.914898177920686,0.2771704180064309,0.07545551982851018
49057210600,Census Tract 2106,Weber County,Utah,7045,0.25322924059616747,0.5814052519517389,0.1653655074520937,0.7338537970191625,0.00227111426543648,0.18992193044712563,0.0049680624556423,0.06898509581263307,0.016599276441796127,0.9135986380080868,0.15279846775909767,0.04085975739519047
49057210701,Census Tract 2107.01,Weber County,Utah,5809,0.31089688414529176,0.5673954208986056,0.1217076949561026,0.7684627302461697,0.00585298674470649,0.17386813565157513,0.008263040110173868,0.04355310724737476,0.027715565509518477,0.828107502799552,0.24860022396416573,0.0683090705487122
49057210703,Census Tract 2107.03,Weber County,Utah,2842,0.2441942294159043,0.5904292751583392,0.1653764954257565,0.7079521463757917,0.02498240675580577,0.17874736101337085,0.007741027445460943,0.08057705840957073,0.04196519959058342,0.8326509723643808,0.16274309109518936,0.032753326509723645
49057210704,Census Tract 2107.04,Weber County,Utah,6552,0.29502442002442003,0.5811965811965812,0.12377899877899878,0.7945665445665445,0.0,0.1762820512820513,0.01282051282051282,0.016330891330891332,0.013480392156862746,0.8963235294117647,0.2125,0.030882352941176472
49057210800,Census Tract 2108,Weber County,Utah,3173,0.18594390167034353,0.7513394264103372,0.06271667191931926,0.7519697447210841,0.013551843681058934,0.17648912700913963,0.0,0.0579892845887173,0.04168554599003172,0.8536474852741278,0.13819664703217036,0.022655188038060717
49057210900,Census Tract 2109,Weber County,Utah,7079,0.27602768752648676,0.5723972312473513,0.1515750812261619,0.757027828789377,0.0098884023167114,0.18279417996892217,0.007345670292414183,0.042943918632575226,0.00920850690638018,0.959219469414602,0.33983775487831613,0.11115983336987503
49057211000,Census Tract 2110,Weber County,Utah,3331,0.3137196037226058,0.5688982287601321,0.11738216751726209,0.8207745421795257,0.0,0.13899729810867606,0.0,0.04022815971179826,0.040708812260536395,0.8635057471264368,0.18869731800766285,0.02921455938697318
