"FIPS","Tract","County","State","Total","Under.18","X18.to.64","Over.64","White","Black","AIAN","Asian","NHOPI","Hispanic","Other_Races","Below.9th.grade","High.School","College","Advanced.Degree"
30029000403,"Census Tract 4.03","Flathead County","Montana",2486,0.130732099758648,0.62510056315366,0.244167337087691,0.972646822204344,0,0.00522928399034594,0,0,0.0189058728881738,0.00321802091713596,0.00631681243926142,0.974732750242954,0.553935860058309,0.162779397473275
30029000404,"Census Tract 4.04","Flathead County","Montana",3447,0.219901363504497,0.604003481288077,0.176095155207427,0.909486510008703,0,0.00638236147374529,0,0,0.0226283724978242,0.0615027560197273,0,0.893032786885246,0.547540983606557,0.139344262295082
30029000601,"Census Tract 6.01","Flathead County","Montana",5479,0.207337105311188,0.598101843402081,0.194561051286731,0.887570724584778,0.0025552108048914,0.00894323781711991,0.0189815659791933,0,0.0500091257528746,0.0319401350611425,0.00516351118760757,0.956724858618146,0.447012539955741,0.149495942955495
30029000602,"Census Tract 6.02","Flathead County","Montana",4195,0.225506555423123,0.541597139451728,0.232896305125149,0.910846245530393,0.0033373063170441,0.000476758045292014,0.0112038140643623,0,0.0226460071513707,0.0514898688915375,0.00267737617135207,0.927376171352075,0.338018741633199,0.110441767068273
30029000700,"Census Tract 7","Flathead County","Montana",6482,0.22616476396174,0.630978093181117,0.142857142857143,0.898025300833076,0,0.000308546744831842,0.00262264733107066,0,0.0245294662141314,0.0745140388768898,0.00766031954475815,0.870431166557234,0.282118625519807,0.0558108995403808
30029000801,"Census Tract 8.01","Flathead County","Montana",3460,0.23121387283237,0.46849710982659,0.30028901734104,0.915028901734104,0,0,0.0106936416184971,0,0.0271676300578035,0.0471098265895954,0.00978393803505911,0.91316754993885,0.324500611496127,0.125560538116592
30029000802,"Census Tract 8.02","Flathead County","Montana",6625,0.278037735849057,0.56,0.161962264150943,0.878792452830189,0,0.012377358490566,0.0176603773584906,0,0.0324528301886792,0.0587169811320755,0.0103464870067372,0.94177093358999,0.416265640038499,0.155197305101059
30029000901,"Census Tract 9.01","Flathead County","Montana",2220,0.149099099099099,0.686936936936937,0.163963963963964,0.927927927927928,0.0261261261261261,0.0027027027027027,0.0355855855855856,0,0.00765765765765766,0,0.0420280186791194,0.869913275517011,0.244829886591061,0.0907271514342895
30029000902,"Census Tract 9.02","Flathead County","Montana",2395,0.35615866388309,0.431732776617954,0.212108559498956,0.778288100208768,0,0.0304801670146138,0,0,0.109812108559499,0.081419624217119,0.0164158686730506,0.843365253077975,0.328317373461012,0.149110807113543
30029000903,"Census Tract 9.03","Flathead County","Montana",3502,0.20873786407767,0.536264991433467,0.254997144488864,0.860079954311822,0.000285551113649343,0.0245573957738435,0.0114220445459737,0,0.0408338092518561,0.0628212450028555,0.0246717071229606,0.898129725427776,0.302427377636291,0.123358535614803
30029001000,"Census Tract 10","Flathead County","Montana",2069,0.102948284195263,0.587723537941034,0.309328177863702,0.896085065248913,0,0.0246495891735138,0,0,0.0778153697438376,0.0014499758337361,0,0.876190476190476,0.235555555555556,0.102222222222222
