FIPS,County,State,Type,RE,Sex,All Site,Bladder,Brain & ONS,Cervix,Colon & Rectum,"Corpus Uteri & Uterus, NOS",Esophagus,Female Breast,Kidney & Renal Pelvis,Leukemia,Liver & IBD,Lung & Bronchus,Melanoma of the Skin,Non-Hodgkin Lymphoma,Oral Cavity & Pharynx,Ovary,Pancreas,Prostate,Stomach,Thyroid
16011,Bingham County,Idaho,Mortality,Hispanic,Male,,,,,,,,,,,,,,,,,,,,
16011,Bingham County,Idaho,Mortality,White NH,All,144.7,,,,14.8,,,,,7.8,,25.4,,,,,7.2,,,
16011,Bingham County,Idaho,Mortality,White NH,Female,136.2,,,,,,,24.7,,,,19.0,,,,,,,,
16011,Bingham County,Idaho,Mortality,White NH,Male,155.2,,,,17.7,,,,,,,31.8,,,,,,24.9,,
16013,Blaine County,Idaho,Mortality,All,All,88.3,,,,11.6,,,,,,,,,,,,,,,
16013,Blaine County,Idaho,Mortality,All,Female,68.7,,,,,,,,,,,,,,,,,,,
16013,Blaine County,Idaho,Mortality,All,Male,111.6,,,,,,,,,,,,,,,,,,,
16013,Blaine County,Idaho,Mortality,American Indian/Alaska Native NH,All,,,,,,,,,,,,,,,,,,,,
16013,Blaine County,Idaho,Mortality,American Indian/Alaska Native NH,Female,,,,,,,,,,,,,,,,,,,,
16013,Blaine County,Idaho,Mortality,American Indian/Alaska Native NH,Male,,,,,,,,,,,,,,,,,,,,
16013,Blaine County,Idaho,Mortality,Asian/Pacific Islander NH,All,,,,,,,,,,,,,,,,,,,,
16013,Blaine County,Idaho,Mortality,Asian/Pacific Islander NH,Female,,,,,,,,,,,,,,,,,,,,
16013,Blaine County,Idaho,Mortality,Asian/Pacific Islander NH,Male,,,,,,,,,,,,,,,,,,,,
16013,Blaine County,Idaho,Mortality,Black NH,All,,,,,,,,,,,,,,,,,,,,
16013,Blaine County,Idaho,Mortality,Black NH,Female,,,,,,,,,,,,,,,,,,,,
16013,Blaine County,Idaho,Mortality,Black NH,Male,,,,,,,,,,,,,,,,,,,,
16013,Blaine County,Idaho,Mortality,Hispanic,All,,,,,,,,,,,,,,,,,,,,
16013,Blaine County,Idaho,Mortality,Hispanic,Female,,,,,,,,,,,,,,,,,,,,
16013,Blaine County,Idaho,Mortality,Hispanic,Male,,,,,,,,,,,,,,,,,,,,
16013,Blaine County,Idaho,Mortality,White NH,All,94.5,,,,,,,,,,,,,,,,,,,
16013,Blaine County,Idaho,Mortality,White NH,Female,70.3,,,,,,,,,,,,,,,,,,,
16013,Blaine County,Idaho,Mortality,White NH,Male,122.3,,,,,,,,,,,,,,,,,,,
16015,Boise County,Idaho,Mortality,All,All,96.0,,,,,,,,,,,,,,,,,,,
16015,Boise County,Idaho,Mortality,All,Female,90.6,,,,,,,,,,,,,,,,,,,
16015,Boise County,Idaho,Mortality,All,Male,100.6,,,,,,,,,,,,,,,,,,,
16015,Boise County,Idaho,Mortality,American Indian/Alaska Native NH,All,,,,,,,,,,,,,,,,,,,,
16015,Boise County,Idaho,Mortality,American Indian/Alaska Native NH,Female,,,,,,,,,,,,,,,,,,,,
16015,Boise County,Idaho,Mortality,American Indian/Alaska Native NH,Male,,,,,,,,,,,,,,,,,,,,
16015,Boise County,Idaho,Mortality,Asian/Pacific Islander NH,All,,,,,,,,,,,,,,,,,,,,
16015,Boise County,Idaho,Mortality,Asian/Pacific Islander NH,Female,,,,,,,,,,,,,,,,,,,,
16015,Boise County,Idaho,Mortality,Asian/Pacific Islander NH,Male,,,,,,,,,,,,,,,,,,,,
16015,Boise County,Idaho,Mortality,Black NH,All,,,,,,,,,,,,,,,,,,,,
16015,Boise County,Idaho,Mortality,Black NH,Female,,,,,,,,,,,,,,,,,,,,
16015,Boise County,Idaho,Mortality,Black NH,Male,,,,,,,,,,,,,,,,,,,,
16015,Boise County,Idaho,Mortality,Hispanic,All,,,,,,,,,,,,,,,,,,,,
16015,Boise County,Idaho,Mortality,Hispanic,Female,,,,,,,,,,,,,,,,,,,,
16015,Boise County,Idaho,Mortality,Hispanic,Male,,,,,,,,,,,,,,,,,,,,
16015,Boise County,Idaho,Mortality,White NH,All,100.3,,,,,,,,,,,,,,,,,,,
16015,Boise County,Idaho,Mortality,White NH,Female,97.1,,,,,,,,,,,,,,,,,,,
16015,Boise County,Idaho,Mortality,White NH,Male,103.1,,,,,,,,,,,,,,,,,,,
16017,Bonner County,Idaho,Mortality,All,All,134.5,6.4,5.1,,11.5,,5.2,,4.2,6.4,5.7,25.7,,,,,12.6,,,
16017,Bonner County,Idaho,Mortality,All,Female,113.6,,,,10.2,,,21.3,,,,25.5,,,,,12.3,,,
16017,Bonner County,Idaho,Mortality,All,Male,158.4,13.8,,,11.7,,8.6,,,,8.4,26.1,,,,,13.0,21.2,,
16017,Bonner County,Idaho,Mortality,American Indian/Alaska Native NH,All,,,,,,,,,,,,,,,,,,,,
16017,Bonner County,Idaho,Mortality,American Indian/Alaska Native NH,Female,,,,,,,,,,,,,,,,,,,,
16017,Bonner County,Idaho,Mortality,American Indian/Alaska Native NH,Male,,,,,,,,,,,,,,,,,,,,
16017,Bonner County,Idaho,Mortality,Asian/Pacific Islander NH,All,,,,,,,,,,,,,,,,,,,,
16017,Bonner County,Idaho,Mortality,Asian/Pacific Islander NH,Female,,,,,,,,,,,,,,,,,,,,
16017,Bonner County,Idaho,Mortality,Asian/Pacific Islander NH,Male,,,,,,,,,,,,,,,,,,,,
16017,Bonner County,Idaho,Mortality,Black NH,All,,,,,,,,,,,,,,,,,,,,
16017,Bonner County,Idaho,Mortality,Black NH,Female,,,,,,,,,,,,,,,,,,,,
16017,Bonner County,Idaho,Mortality,Black NH,Male,,,,,,,,,,,,,,,,,,,,
16017,Bonner County,Idaho,Mortality,Hispanic,All,,,,,,,,,,,,,,,,,,,,
16017,Bonner County,Idaho,Mortality,Hispanic,Female,,,,,,,,,,,,,,,,,,,,
16017,Bonner County,Idaho,Mortality,Hispanic,Male,,,,,,,,,,,,,,,,,,,,
16017,Bonner County,Idaho,Mortality,White NH,All,136.6,6.6,5.3,,11.7,,5.2,,4.3,6.6,5.9,26.2,,,,,12.6,,,
16017,Bonner County,Idaho,Mortality,White NH,Female,114.2,,,,10.6,,,21.7,,,,25.8,,,,,11.9,,,
16017,Bonner County,Idaho,Mortality,White NH,Male,162.4,14.4,,,11.8,,8.6,,,,8.7,26.6,,,,,13.5,21.9,,
16019,Bonneville County,Idaho,Mortality,All,All,131.8,4.9,5.3,,13.1,,4.2,,3.1,5.8,5.0,21.8,3.1,6.0,,,7.7,,,
16019,Bonneville County,Idaho,Mortality,All,Female,114.9,,,,11.8,,,19.2,,,4.9,17.5,,6.2,,7.2,7.1,,,
16019,Bonneville County,Idaho,Mortality,All,Male,155.9,8.7,5.9,,14.7,,7.6,,,8.3,,26.9,,5.8,,,8.3,19.6,,
16019,Bonneville County,Idaho,Mortality,American Indian/Alaska Native NH,All,,,,,,,,,,,,,,,,,,,,
16019,Bonneville County,Idaho,Mortality,American Indian/Alaska Native NH,Female,,,,,,,,,,,,,,,,,,,,
16019,Bonneville County,Idaho,Mortality,American Indian/Alaska Native NH,Male,,,,,,,,,,,,,,,,,,,,
16019,Bonneville County,Idaho,Mortality,Asian/Pacific Islander NH,All,,,,,,,,,,,,,,,,,,,,
16019,Bonneville County,Idaho,Mortality,Asian/Pacific Islander NH,Female,,,,,,,,,,,,,,,,,,,,
16019,Bonneville County,Idaho,Mortality,Asian/Pacific Islander NH,Male,,,,,,,,,,,,,,,,,,,,
16019,Bonneville County,Idaho,Mortality,Black NH,All,,,,,,,,,,,,,,,,,,,,
16019,Bonneville County,Idaho,Mortality,Black NH,Female,,,,,,,,,,,,,,,,,,,,
16019,Bonneville County,Idaho,Mortality,Black NH,Male,,,,,,,,,,,,,,,,,,,,
16019,Bonneville County,Idaho,Mortality,Hispanic,All,100.6,,,,,,,,,,,,,,,,,,,
16019,Bonneville County,Idaho,Mortality,Hispanic,Female,,,,,,,,,,,,,,,,,,,,
16019,Bonneville County,Idaho,Mortality,Hispanic,Male,112.5,,,,,,,,,,,,,,,,,,,
16019,Bonneville County,Idaho,Mortality,White NH,All,134.3,5.0,5.9,,13.2,,4.2,,3.4,5.8,4.9,22.0,3.4,6.0,,,7.9,,,
16019,Bonneville County,Idaho,Mortality,White NH,Female,115.2,,,,11.8,,,19.9,,,,17.4,,6.0,,7.4,7.2,,,
16019,Bonneville County,Idaho,Mortality,White NH,Male,161.2,8.9,6.6,,15.0,,7.9,,,9.1,,27.2,,6.0,,,8.5,19.7,,
16021,Boundary County,Idaho,Mortality,All,All,155.3,,,,16.0,,,,,,,32.8,,,,,,,,
16021,Boundary County,Idaho,Mortality,All,Female,136.7,,,,,,,,,,,,,,,,,,,
16021,Boundary County,Idaho,Mortality,All,Male,180.9,,,,,,,,,,,45.4,,,,,,33.2,,
16021,Boundary County,Idaho,Mortality,American Indian/Alaska Native NH,All,,,,,,,,,,,,,,,,,,,,
16021,Boundary County,Idaho,Mortality,American Indian/Alaska Native NH,Female,,,,,,,,,,,,,,,,,,,,
16021,Boundary County,Idaho,Mortality,American Indian/Alaska Native NH,Male,,,,,,,,,,,,,,,,,,,,
16021,Boundary County,Idaho,Mortality,Asian/Pacific Islander NH,All,,,,,,,,,,,,,,,,,,,,
16021,Boundary County,Idaho,Mortality,Asian/Pacific Islander NH,Female,,,,,,,,,,,,,,,,,,,,
16021,Boundary County,Idaho,Mortality,Asian/Pacific Islander NH,Male,,,,,,,,,,,,,,,,,,,,
16021,Boundary County,Idaho,Mortality,Black NH,All,,,,,,,,,,,,,,,,,,,,
16021,Boundary County,Idaho,Mortality,Black NH,Female,,,,,,,,,,,,,,,,,,,,
16021,Boundary County,Idaho,Mortality,Black NH,Male,,,,,,,,,,,,,,,,,,,,
16021,Boundary County,Idaho,Mortality,Hispanic,All,,,,,,,,,,,,,,,,,,,,
16021,Boundary County,Idaho,Mortality,Hispanic,Female,,,,,,,,,,,,,,,,,,,,
16021,Boundary County,Idaho,Mortality,Hispanic,Male,,,,,,,,,,,,,,,,,,,,
16021,Boundary County,Idaho,Mortality,White NH,All,164.8,,,,17.2,,,,,,,34.1,,,,,,,,
16021,Boundary County,Idaho,Mortality,White NH,Female,144.0,,,,,,,,,,,,,,,,,,,
16021,Boundary County,Idaho,Mortality,White NH,Male,193.3,,,,,,,,,,,48.1,,,,,,35.3,,
16023,Butte County,Idaho,Mortality,All,All,185.0,,,,,,,,,,,,,,,,,,,
16023,Butte County,Idaho,Mortality,All,Female,,,,,,,,,,,,,,,,,,,,
16023,Butte County,Idaho,Mortality,All,Male,237.5,,,,,,,,,,,,,,,,,,,
16023,Butte County,Idaho,Mortality,American Indian/Alaska Native NH,All,,,,,,,,,,,,,,,,,,,,
16023,Butte County,Idaho,Mortality,American Indian/Alaska Native NH,Female,,,,,,,,,,,,,,,,,,,,
16023,Butte County,Idaho,Mortality,American Indian/Alaska Native NH,Male,,,,,,,,,,,,,,,,,,,,
16023,Butte County,Idaho,Mortality,Asian/Pacific Islander NH,All,,,,,,,,,,,,,,,,,,,,
16023,Butte County,Idaho,Mortality,Asian/Pacific Islander NH,Female,,,,,,,,,,,,,,,,,,,,
16023,Butte County,Idaho,Mortality,Asian/Pacific Islander NH,Male,,,,,,,,,,,,,,,,,,,,
16023,Butte County,Idaho,Mortality,Black NH,All,,,,,,,,,,,,,,,,,,,,
16023,Butte County,Idaho,Mortality,Black NH,Female,,,,,,,,,,,,,,,,,,,,
16023,Butte County,Idaho,Mortality,Black NH,Male,,,,,,,,,,,,,,,,,,,,
16023,Butte County,Idaho,Mortality,Hispanic,All,,,,,,,,,,,,,,,,,,,,
16023,Butte County,Idaho,Mortality,Hispanic,Female,,,,,,,,,,,,,,,,,,,,
16023,Butte County,Idaho,Mortality,Hispanic,Male,,,,,,,,,,,,,,,,,,,,
16023,Butte County,Idaho,Mortality,White NH,All,194.8,,,,,,,,,,,,,,,,,,,
16023,Butte County,Idaho,Mortality,White NH,Female,,,,,,,,,,,,,,,,,,,,
16023,Butte County,Idaho,Mortality,White NH,Male,252.5,,,,,,,,,,,,,,,,,,,
16025,Camas County,Idaho,Mortality,All,All,,,,,,,,,,,,,,,,,,,,
16025,Camas County,Idaho,Mortality,All,Female,,,,,,,,,,,,,,,,,,,,
16025,Camas County,Idaho,Mortality,All,Male,,,,,,,,,,,,,,,,,,,,
16025,Camas County,Idaho,Mortality,American Indian/Alaska Native NH,All,,,,,,,,,,,,,,,,,,,,
16025,Camas County,Idaho,Mortality,American Indian/Alaska Native NH,Female,,,,,,,,,,,,,,,,,,,,
16025,Camas County,Idaho,Mortality,American Indian/Alaska Native NH,Male,,,,,,,,,,,,,,,,,,,,
16025,Camas County,Idaho,Mortality,Asian/Pacific Islander NH,All,,,,,,,,,,,,,,,,,,,,
16025,Camas County,Idaho,Mortality,Asian/Pacific Islander NH,Female,,,,,,,,,,,,,,,,,,,,
16025,Camas County,Idaho,Mortality,Asian/Pacific Islander NH,Male,,,,,,,,,,,,,,,,,,,,
16025,Camas County,Idaho,Mortality,Black NH,All,,,,,,,,,,,,,,,,,,,,
16025,Camas County,Idaho,Mortality,Black NH,Female,,,,,,,,,,,,,,,,,,,,
16025,Camas County,Idaho,Mortality,Black NH,Male,,,,,,,,,,,,,,,,,,,,
16025,Camas County,Idaho,Mortality,Hispanic,All,,,,,,,,,,,,,,,,,,,,
16025,Camas County,Idaho,Mortality,Hispanic,Female,,,,,,,,,,,,,,,,,,,,
16025,Camas County,Idaho,Mortality,Hispanic,Male,,,,,,,,,,,,,,,,,,,,
16025,Camas County,Idaho,Mortality,White NH,All,,,,,,,,,,,,,,,,,,,,
16025,Camas County,Idaho,Mortality,White NH,Female,,,,,,,,,,,,,,,,,,,,
16025,Camas County,Idaho,Mortality,White NH,Male,,,,,,,,,,,,,,,,,,,,
16027,Canyon County,Idaho,Mortality,All,All,147.8,4.0,4.5,,13.9,,4.3,,4.1,7.5,6.2,28.7,2.8,6.0,2.4,,10.8,,3.3,
16027,Canyon County,Idaho,Mortality,All,Female,127.1,,4.4,3.1,10.6,4.7,,22.7,3.2,4.9,4.3,23.3,,5.6,,5.1,9.1,,2.8,
16027,Canyon County,Idaho,Mortality,All,Male,174.7,7.3,4.5,,18.0,,7.6,,5.3,11.0,8.6,35.1,4.4,6.3,2.7,,12.8,18.9,3.9,
16027,Canyon County,Idaho,Mortality,American Indian/Alaska Native NH,All,,,,,,,,,,,,,,,,,,,,
16027,Canyon County,Idaho,Mortality,American Indian/Alaska Native NH,Female,,,,,,,,,,,,,,,,,,,,
16027,Canyon County,Idaho,Mortality,American Indian/Alaska Native NH,Male,,,,,,,,,,,,,,,,,,,,
16027,Canyon County,Idaho,Mortality,Asian/Pacific Islander NH,All,,,,,,,,,,,,,,,,,,,,
16027,Canyon County,Idaho,Mortality,Asian/Pacific Islander NH,Female,,,,,,,,,,,,,,,,,,,,
16027,Canyon County,Idaho,Mortality,Asian/Pacific Islander NH,Male,,,,,,,,,,,,,,,,,,,,
16027,Canyon County,Idaho,Mortality,Black NH,All,,,,,,,,,,,,,,,,,,,,
16027,Canyon County,Idaho,Mortality,Black NH,Female,,,,,,,,,,,,,,,,,,,,
16027,Canyon County,Idaho,Mortality,Black NH,Male,,,,,,,,,,,,,,,,,,,,
16027,Canyon County,Idaho,Mortality,Hispanic,All,89.3,,,,,,,,,,14.9,,,,,,,,,
16027,Canyon County,Idaho,Mortality,Hispanic,Female,82.8,,,,,,,,,,,,,,,,,,,
16027,Canyon County,Idaho,Mortality,Hispanic,Male,100.7,,,,,,,,,,,,,,,,,,,
