"FIPS","Tract","County","State","Insurance.Coverage","Medicaid.Enrollment","Household.Income","Annual.Labor.Force.Participation.Rate","Annual.Unemployment.Rate","Below.Poverty","Received.Public.Assistance","Uninsured"
30067000400,"Census Tract 4","Park County","Montana",0.943564536683051,0.21190606226106,65583,0.68864774624374,0.0448484848484848,0.056512749827705,0.099381143065162,0.0564354633169488
30067000500,"Census Tract 5","Park County","Montana",0.941820670773443,0.177960301163587,49827,0.652985074626866,0.0331428571428571,0.109034267912773,0.0390355912743972,0.0581793292265571
30067980600,"Census Tract 9806","Park County","Montana",NA,NA,NA,NA,NA,NA,NA,NA
30069000100,"Census Tract 1","Petroleum County","Montana",0.937655860349127,0.129675810473815,59318,0.640804597701149,0.00896860986547085,0.0234375,0.015,0.0623441396508728
30071060200,"Census Tract 602","Phillips County","Montana",0.92477769766883,0.27661619802932,58156,0.592057761732852,0.0340447154471545,0.0420168067226891,0.0853589598643301,0.0752223023311704
30073977000,"Census Tract 9770","Pondera County","Montana",0.932259855635758,0.312326485285952,56667,0.621401964104301,0.0643051771117166,0.086283185840708,0.101915184678523,0.0677401443642421
30073977200,"Census Tract 9772","Pondera County","Montana",0.909987141020146,0.514359194170596,47969,0.510399100618325,0.0649779735682819,0.256120527306968,0.141388174807198,0.0900128589798542
30075000100,"Census Tract 1","Powder River County","Montana",0.943506115317414,0.203843913803145,68009,0.586135895676047,0.0117096018735363,0.0606694560669456,0.0659186535764376,0.0564938846825859
30077000100,"Census Tract 1","Powell County","Montana",0.871740662438337,0.135306553911205,74313,0.578111946532999,0.0491329479768786,0.0111731843575419,0.0646319569120287,0.128259337561663
30077000200,"Census Tract 2","Powell County","Montana",0.94249684741488,0.253720050441362,61162,0.387892376681614,0.0383604834471886,0.0199652777777778,0.121719709659408,0.0575031525851198
30079000100,"Census Tract 1","Prairie County","Montana",0.94299674267101,0.325732899022801,45192,0.523618090452261,0.0115163147792706,0.212230215827338,0.188461538461538,0.0570032573289903
30081000100,"Census Tract 1","Ravalli County","Montana",0.945664227101353,0.208250166333999,85250,0.580714477571851,0.061054579093432,0.0480928689883914,0.0886460230722526,0.0543357728986471
30081000201,"Census Tract 2.01","Ravalli County","Montana",0.910935180603662,0.215239980207818,61053,0.550247596854064,0.0513499205929063,0.0858951175406872,0.0814771395076202,0.0890648193963385
30081000203,"Census Tract 2.03","Ravalli County","Montana",0.92896174863388,0.104432301153613,81587,0.569633507853403,0.0906862745098039,0.00546946216955333,0.0419303797468354,0.0710382513661202
30081000204,"Census Tract 2.04","Ravalli County","Montana",0.929284088920007,0.0799929984246456,90981,0.508751727314602,0.0325939339067451,0.0369191597708466,0.0554078014184397,0.070715911079993
30081000300,"Census Tract 3","Ravalli County","Montana",0.920610687022901,0.307175572519084,61136,0.584368151935719,0.015,0.010477299185099,0.0980243161094225,0.0793893129770993
30081000401,"Census Tract 4.01","Ravalli County","Montana",0.820676451818762,0.234524569240587,77955,0.544667453758363,0.0122832369942197,0.0544041450777202,0.0645491803278689,0.179323548181238
30081000402,"Census Tract 4.02","Ravalli County","Montana",0.917996225767713,0.145994167095557,84129,0.5996807024546,0.0206322795341098,0.0487421383647799,0.0834035383319292,0.0820037742322869
30081000501,"Census Tract 5.01","Ravalli County","Montana",0.981907894736842,0.180098684210526,89875,0.559099437148218,0,0,0.0482897384305835,0.0180921052631579
30081000502,"Census Tract 5.02","Ravalli County","Montana",0.927272727272727,0.192239467849224,54962,0.565838050701452,0.0169638973466725,0.0477001703577513,0.103061664510565,0.0727272727272728
30081000601,"Census Tract 6.01","Ravalli County","Montana",0.931745009658725,0.143593045717965,71111,0.432707355242566,0,0.104204753199269,0.0248618784530387,0.0682549903412749
30081000602,"Census Tract 6.02","Ravalli County","Montana",0.845750655185324,0.453013852489704,56250,0.614208421547871,0.00421294523171199,0.055635838150289,0.177757927646271,0.154249344814676
30081000700,"Census Tract 7","Ravalli County","Montana",0.926067907995619,0.253559693318729,62431,0.465689149560117,0.119647355163728,0.0114942528735632,0.100112485939258,0.0739320920043811
30081000800,"Census Tract 8","Ravalli County","Montana",0.953962264150943,0.21811320754717,64709,0.369808306709265,0.0129589632829374,0.033033033033033,0.0839160839160839,0.0460377358490566
30083070100,"Census Tract 701","Richland County","Montana",0.931568754034861,0.159457714654616,82153,0.633440514469453,0.0774111675126904,0.0323325635103926,0.0245499181669394,0.0684312459651388
30083070200,"Census Tract 702","Richland County","Montana",0.927765237020316,0.0699774266365688,75966,0.648456057007126,0.010989010989011,0.0446428571428571,0.0251479289940828,0.072234762979684
30083070301,"Census Tract 703.01","Richland County","Montana",0.94551724137931,0.105172413793103,64654,0.70795409576573,0.0659586361095584,0.131818181818182,0.0535298681148177,0.0544827586206896
30083070302,"Census Tract 703.02","Richland County","Montana",0.979255319148936,0.184574468085106,58359,0.713868613138686,0,0.0170731707317073,0.147919876733436,0.0207446808510638
30083070400,"Census Tract 704","Richland County","Montana",0.919239164328032,0.222949797318366,68750,0.669834710743802,0.0234423195558297,0.0569395017793594,0.0588235294117647,0.0807608356719676
30085080100,"Census Tract 801","Roosevelt County","Montana",0.837171933583289,0.204606320299946,88942,0.746787603930461,0.0172064777327935,0.0427807486631016,0.0311986863711002,0.162828066416711
30085940001,"Census Tract 9400.01","Roosevelt County","Montana",0.694622704138084,0.225713653463156,50735,0.533143669985775,0.114194236926361,0.308943089430894,0.185530085959885,0.305377295861916
30085940002,"Census Tract 9400.02","Roosevelt County","Montana",0.654016757023164,0.283883686545096,42546,0.418613413715147,0.0936093609360936,0.318027210884354,0.125127161749746,0.345983242976836
