FIPS,County,State,measure,value
16063,Lincoln County,Idaho,Vacancy Rate,0.05430327868852459
16065,Madison County,Idaho,Vacancy Rate,0.16394472361809045
16067,Minidoka County,Idaho,Vacancy Rate,0.1027611044417767
16069,Nez Perce County,Idaho,Vacancy Rate,0.06843651398106844
16071,Oneida County,Idaho,Vacancy Rate,0.09399606299212598
16073,Owyhee County,Idaho,Vacancy Rate,0.11197478991596639
16075,Payette County,Idaho,Vacancy Rate,0.04590899816364007
16077,Power County,Idaho,Vacancy Rate,0.09396200814111262
16079,Shoshone County,Idaho,Vacancy Rate,0.21976926363765845
16081,Teton County,Idaho,Vacancy Rate,0.2754279959718026
16083,Twin Falls County,Idaho,Vacancy Rate,0.04723824755811961
16085,Valley County,Idaho,Vacancy Rate,0.6920462820616555
16087,Washington County,Idaho,Vacancy Rate,0.08965062623599208
30001,Beaverhead County,Montana,Vacancy Rate,0.1726430298146656
30003,Big Horn County,Montana,Vacancy Rate,0.20061796512911056
30005,Blaine County,Montana,Vacancy Rate,0.1961061946902655
30007,Broadwater County,Montana,Vacancy Rate,0.08447561364360855
30009,Carbon County,Montana,Vacancy Rate,0.27332395686826066
30011,Carter County,Montana,Vacancy Rate,0.2372448979591837
30013,Cascade County,Montana,Vacancy Rate,0.11391010199374711
30015,Chouteau County,Montana,Vacancy Rate,0.2328767123287671
30017,Custer County,Montana,Vacancy Rate,0.1341421143847487
30019,Daniels County,Montana,Vacancy Rate,0.3675819309123118
30021,Dawson County,Montana,Vacancy Rate,0.1394658753709199
30023,Deer Lodge County,Montana,Vacancy Rate,0.20948040109389243
30025,Fallon County,Montana,Vacancy Rate,0.2010981468771448
30027,Fergus County,Montana,Vacancy Rate,0.13696122482942252
30029,Flathead County,Montana,Vacancy Rate,0.16114781501233783
30031,Gallatin County,Montana,Vacancy Rate,0.10691166868762242
30033,Garfield County,Montana,Vacancy Rate,0.4521276595744681
30035,Glacier County,Montana,Vacancy Rate,0.21845750655185323
30037,Golden Valley County,Montana,Vacancy Rate,0.2478813559322034
30039,Granite County,Montana,Vacancy Rate,0.4864244741873805
30041,Hill County,Montana,Vacancy Rate,0.14068546158098397
30043,Jefferson County,Montana,Vacancy Rate,0.12651614107109535
30045,Judith Basin County,Montana,Vacancy Rate,0.3044151820294346
30047,Lake County,Montana,Vacancy Rate,0.2668532489656851
30049,Lewis And Clark County,Montana,Vacancy Rate,0.0984846229420346
30051,Liberty County,Montana,Vacancy Rate,0.18700114025085518
30053,Lincoln County,Montana,Vacancy Rate,0.1920312926407714
30055,McCone County,Montana,Vacancy Rate,0.2845379688929552
30057,Madison County,Montana,Vacancy Rate,0.4459838107098381
30059,Meagher County,Montana,Vacancy Rate,0.4130893736805067
30061,Mineral County,Montana,Vacancy Rate,0.1898635477582846
30063,Missoula County,Montana,Vacancy Rate,0.08419867838210733
30065,Musselshell County,Montana,Vacancy Rate,0.20171834142697048
30067,Park County,Montana,Vacancy Rate,0.15777917189460477
30069,Petroleum County,Montana,Vacancy Rate,0.3527397260273973
30071,Phillips County,Montana,Vacancy Rate,0.2188476998660116
30073,Pondera County,Montana,Vacancy Rate,0.2173754998182479
30075,Powder River County,Montana,Vacancy Rate,0.2650246305418719
30077,Powell County,Montana,Vacancy Rate,0.21569965870307167
30079,Prairie County,Montana,Vacancy Rate,0.25384615384615383
30081,Ravalli County,Montana,Vacancy Rate,0.10282286856762032
30083,Richland County,Montana,Vacancy Rate,0.18528512322360136
30085,Roosevelt County,Montana,Vacancy Rate,0.2517173699705594
30087,Rosebud County,Montana,Vacancy Rate,0.2006829524560021
30089,Sanders County,Montana,Vacancy Rate,0.20372816674005578
30091,Sheridan County,Montana,Vacancy Rate,0.2983910287664554
30093,Silver Bow County,Montana,Vacancy Rate,0.1284748309541698
30095,Stillwater County,Montana,Vacancy Rate,0.18380931930427313
30097,Sweet Grass County,Montana,Vacancy Rate,0.2267379679144385
30099,Teton County,Montana,Vacancy Rate,0.16133424098025867
30101,Toole County,Montana,Vacancy Rate,0.22928295405753543
30103,Treasure County,Montana,Vacancy Rate,0.26973684210526316
30105,Valley County,Montana,Vacancy Rate,0.3371548900327562
30107,Wheatland County,Montana,Vacancy Rate,0.2553191489361702
30109,Wibaux County,Montana,Vacancy Rate,0.22203672787979967
30111,Yellowstone County,Montana,Vacancy Rate,0.060275148092786356
32001,Churchill County,Nevada,Vacancy Rate,0.11395327361713917
32003,Clark County,Nevada,Vacancy Rate,0.09846253824700116
32005,Douglas County,Nevada,Vacancy Rate,0.13990252692796004
32007,Elko County,Nevada,Vacancy Rate,0.12849162011173185
32009,Esmeralda County,Nevada,Vacancy Rate,0.337431693989071
32011,Eureka County,Nevada,Vacancy Rate,0.4282848545636911
32013,Humboldt County,Nevada,Vacancy Rate,0.08929735366966497
32015,Lander County,Nevada,Vacancy Rate,0.1948608137044968
32017,Lincoln County,Nevada,Vacancy Rate,0.2822862129144852
32019,Lyon County,Nevada,Vacancy Rate,0.05255878284923928
32021,Mineral County,Nevada,Vacancy Rate,0.21722846441947566
32023,Nye County,Nevada,Vacancy Rate,0.12671383459247712
32027,Pershing County,Nevada,Vacancy Rate,0.17892903787548978
32029,Storey County,Nevada,Vacancy Rate,0.125129265770424
32031,Washoe County,Nevada,Vacancy Rate,0.07703376822716808
32033,White Pine County,Nevada,Vacancy Rate,0.1911976911976912
32510,Carson City,Nevada,Vacancy Rate,0.05188162221410303
49001,Beaver County,Utah,Vacancy Rate,0.21143250688705234
49003,Box Elder County,Utah,Vacancy Rate,0.062209419850414394
49005,Cache County,Utah,Vacancy Rate,0.05743334839584275
49007,Carbon County,Utah,Vacancy Rate,0.16886625792372442
49009,Daggett County,Utah,Vacancy Rate,0.7951176983435048
49011,Davis County,Utah,Vacancy Rate,0.03430372226383902
49013,Duchesne County,Utah,Vacancy Rate,0.27183590668319624
49015,Emery County,Utah,Vacancy Rate,0.15926829268292683
49017,Garfield County,Utah,Vacancy Rate,0.45230078563411896
49019,Grand County,Utah,Vacancy Rate,0.17397103658536586
49021,Iron County,Utah,Vacancy Rate,0.1558017069184674
49023,Juab County,Utah,Vacancy Rate,0.06867064006219228
49025,Kane County,Utah,Vacancy Rate,0.4720903584874775
49027,Millard County,Utah,Vacancy Rate,0.15479562929987858
49029,Morgan County,Utah,Vacancy Rate,0.06506666666666666
49031,Piute County,Utah,Vacancy Rate,0.3628219484882419
49033,Rich County,Utah,Vacancy Rate,0.7525072791976707
49035,Salt Lake County,Utah,Vacancy Rate,0.053475116378960075
49037,San Juan County,Utah,Vacancy Rate,0.19722622478386168
49039,Sanpete County,Utah,Vacancy Rate,0.16501937984496123
49041,Sevier County,Utah,Vacancy Rate,0.13959981386691483
49043,Summit County,Utah,Vacancy Rate,0.47397819638660965
49045,Tooele County,Utah,Vacancy Rate,0.053113631500107
49047,Uintah County,Utah,Vacancy Rate,0.1564760026298488
49049,Utah County,Utah,Vacancy Rate,0.041829202117312204
49051,Wasatch County,Utah,Vacancy Rate,0.22643428726434287
49053,Washington County,Utah,Vacancy Rate,0.15321154201536472
49055,Wayne County,Utah,Vacancy Rate,0.37810650887573966
49057,Weber County,Utah,Vacancy Rate,0.06856149212329476
56001,Albany County,Wyoming,Vacancy Rate,0.12579156380809273
56003,Big Horn County,Wyoming,Vacancy Rate,0.20410830999066293
56005,Campbell County,Wyoming,Vacancy Rate,0.12015075376884422
56007,Carbon County,Wyoming,Vacancy Rate,0.28851302019956193
56009,Converse County,Wyoming,Vacancy Rate,0.1460063415370678
56011,Crook County,Wyoming,Vacancy Rate,0.24972766884531591
56013,Fremont County,Wyoming,Vacancy Rate,0.1635000572278814
56015,Goshen County,Wyoming,Vacancy Rate,0.13586771224002728
56017,Hot Springs County,Wyoming,Vacancy Rate,0.17515673981191224
56019,Johnson County,Wyoming,Vacancy Rate,0.13935847420892936
56021,Laramie County,Wyoming,Vacancy Rate,0.06717880555993602
56023,Lincoln County,Wyoming,Vacancy Rate,0.20456678135752268
56025,Natrona County,Wyoming,Vacancy Rate,0.10940545808966862
56027,Niobrara County,Wyoming,Vacancy Rate,0.1909433962264151
56029,Park County,Wyoming,Vacancy Rate,0.10750923266311038
56031,Platte County,Wyoming,Vacancy Rate,0.16500865051903113
56033,Sheridan County,Wyoming,Vacancy Rate,0.12887525835055672
56035,Sublette County,Wyoming,Vacancy Rate,0.33581661891117476
56037,Sweetwater County,Wyoming,Vacancy Rate,0.1491301177205959
56039,Teton County,Wyoming,Vacancy Rate,0.2783389450056117
56041,Uinta County,Wyoming,Vacancy Rate,0.1409806363945193
56043,Washakie County,Wyoming,Vacancy Rate,0.1146265560165975
56045,Weston County,Wyoming,Vacancy Rate,0.2268464243845252
16001,Ada County,Idaho,No Vehicle,0.015363056002491306
16003,Adams County,Idaho,No Vehicle,0.0
16005,Bannock County,Idaho,No Vehicle,0.01485148514851485
16007,Bear Lake County,Idaho,No Vehicle,0.037065052950075644
16009,Benewah County,Idaho,No Vehicle,0.0034815211569362613
16011,Bingham County,Idaho,No Vehicle,0.006692115556812291
16013,Blaine County,Idaho,No Vehicle,0.011023743447425224
16015,Boise County,Idaho,No Vehicle,0.01926605504587156
16017,Bonner County,Idaho,No Vehicle,0.032201555979184913
16019,Bonneville County,Idaho,No Vehicle,0.007538374697281451
16021,Boundary County,Idaho,No Vehicle,0.003171247357293869
16023,Butte County,Idaho,No Vehicle,0.03742802303262956
16025,Camas County,Idaho,No Vehicle,0.0
16027,Canyon County,Idaho,No Vehicle,0.013772698484719584
16029,Caribou County,Idaho,No Vehicle,0.004509921828021648
16031,Cassia County,Idaho,No Vehicle,0.021665174574753806
16033,Clark County,Idaho,No Vehicle,0.0
16035,Clearwater County,Idaho,No Vehicle,0.021413276231263382
16037,Custer County,Idaho,No Vehicle,0.026254375729288213
16039,Elmore County,Idaho,No Vehicle,0.011184957043280921
16041,Franklin County,Idaho,No Vehicle,0.005159474671669793
16043,Fremont County,Idaho,No Vehicle,0.01209041527948134
16045,Gem County,Idaho,No Vehicle,0.019723391461214674
16047,Gooding County,Idaho,No Vehicle,0.021237172177879134
16049,Idaho County,Idaho,No Vehicle,0.004243281471004243
16051,Jefferson County,Idaho,No Vehicle,0.0004951195360022634
16053,Jerome County,Idaho,No Vehicle,0.03642793987621574
