FIPS,Tract,County,State,Vacancy Rate,No Vehicle,Single Parent Household,Multi-Unit Structures,Mobile Homes,Owner Occupied Housing,Crowded Housing,Lack Complete Plumbing,Median Home Value,Median Monthly Mortgage,Median Gross Rent,No Home Broadband,Rent Burden (40% Income)
16001000501,Census Tract 5.01,Ada County,Idaho,0.0,0.02072538860103627,0.019579405366207395,0.06163886874546773,0.018129079042784626,0.7302393038433648,0.0029006526468455403,0.0,460500.0,1736.0,1206.0,0.06893106893106893,0.4596774193548387
16001000502,Census Tract 5.02,Ada County,Idaho,0.04004854368932039,0.0392349190779794,0.03792667509481669,0.0,0.0,0.7996207332490518,0.015170670037926675,0.0,638800.0,2219.0,1629.0,0.051120045950603155,0.13564668769716087
16001000601,Census Tract 6.01,Ada County,Idaho,0.09345794392523364,0.017584097859327217,0.03402061855670103,0.03925233644859813,0.0,0.6309278350515464,0.016494845360824743,0.0,822000.0,2467.0,1299.0,0.010451505016722429,0.3435754189944134
16001000602,Census Tract 6.02,Ada County,Idaho,0.0772701635645798,0.008068343616516375,0.003056234718826406,0.09531866892272983,0.0,0.43092909535452323,0.0,0.0,714800.0,2279.0,1284.0,0.007591861524445798,0.12137486573576799
16001000701,Census Tract 7.01,Ada County,Idaho,0.028626568028304922,0.051598429613011774,0.03609271523178808,0.27436474750723705,0.0,0.44304635761589406,0.024834437086092714,0.0,662400.0,2373.0,1337.0,0.026254688337203125,0.19084423305588585
16001000703,Census Tract 7.03,Ada County,Idaho,0.032504780114722756,0.0,0.036561264822134384,0.0,0.0,0.8764822134387352,0.0,0.0,693500.0,2528.0,3273.0,0.0,0.0
16001000704,Census Tract 7.04,Ada County,Idaho,0.023989898989898988,0.06211869107043816,0.037516170763260026,0.17424242424242425,0.0031565656565656565,0.7322121604139715,0.0,0.0,906900.0,3103.0,1840.0,0.02674094707520891,0.2995169082125604
16001000803,Census Tract 8.03,Ada County,Idaho,0.056555269922879174,0.0,0.07520435967302452,0.0,0.0,0.8092643051771117,0.0,0.0,439800.0,1771.0,1465.0,0.04796107506950875,0.04
16001000805,Census Tract 8.05,Ada County,Idaho,0.0,0.02351313969571231,0.03498950314905528,0.0,0.0,0.9678096571028691,0.008397480755773267,0.0,696400.0,2432.0,1713.0,0.03736654804270467,0.0
16001000806,Census Tract 8.06,Ada County,Idaho,0.13547954393024816,0.0,0.09387121799844841,0.2930918846411804,0.0,0.12490302560124127,0.0504266873545384,0.0,449300.0,1335.0,1561.0,0.03384396152475955,0.23049645390070922
16001000807,Census Tract 8.07,Ada County,Idaho,0.11411992263056092,0.02172164119066774,0.0,0.2369439071566731,0.009671179883945842,0.39847161572052403,0.0,0.0,628500.0,1906.0,1580.0,0.13556920170051956,0.15970961887477314
16001000808,Census Tract 8.08,Ada County,Idaho,0.03732394366197183,0.01667735728030789,0.03511338697878566,0.4676056338028169,0.0,0.2582297000731529,0.006583760058522311,0.0,663500.0,3031.0,1754.0,0.0730593607305936,0.2416173570019724
16001000809,Census Tract 8.09,Ada County,Idaho,0.07685810810810811,0.0,0.039341262580054895,0.0785472972972973,0.0,0.6843549862763038,0.0054894784995425435,0.007319304666056725,475600.0,1829.0,1364.0,0.038350515463917545,0.32753623188405795
16001000810,Census Tract 8.10,Ada County,Idaho,0.04617117117117117,0.008517887563884156,0.06611570247933884,0.04222972972972973,0.0,0.512987012987013,0.026564344746162927,0.0,426100.0,1458.0,1389.0,0.07112970711297073,0.10787878787878788
16001000901,Census Tract 9.01,Ada County,Idaho,0.014806378132118452,0.04083044982698962,0.016184971098265895,0.03302961275626424,0.14464692482915717,0.4705202312138728,0.046242774566473986,0.0,418300.0,1329.0,1615.0,0.06560540279787752,0.39082969432314413
16001000902,Census Tract 9.02,Ada County,Idaho,0.17512508934953538,0.15995462280204198,0.012998266897746967,0.2666190135811294,0.0,0.03466204506065858,0.0,0.0,0.0,0.0,1116.0,0.13585329341317365,0.5035906642728905
