FIPS,Tract,County,State,measure,value
16001010403,Census Tract 104.03,Ada County,Idaho,Total,4683.0
16001010404,Census Tract 104.04,Ada County,Idaho,Total,4138.0
16001010405,Census Tract 104.05,Ada County,Idaho,Total,2596.0
16001010406,Census Tract 104.06,Ada County,Idaho,Total,5223.0
16001010407,Census Tract 104.07,Ada County,Idaho,Total,6980.0
16001010408,Census Tract 104.08,Ada County,Idaho,Total,4536.0
16001010409,Census Tract 104.09,Ada County,Idaho,Total,4416.0
16001010410,Census Tract 104.10,Ada County,Idaho,Total,5725.0
16001010411,Census Tract 104.11,Ada County,Idaho,Total,2911.0
16001010501,Census Tract 105.01,Ada County,Idaho,Total,8193.0
16001010503,Census Tract 105.03,Ada County,Idaho,Total,5246.0
16001010505,Census Tract 105.05,Ada County,Idaho,Total,2634.0
16001010506,Census Tract 105.06,Ada County,Idaho,Total,4029.0
16003950100,Census Tract 9501,Adams County,Idaho,Total,1736.0
16003950200,Census Tract 9502,Adams County,Idaho,Total,2728.0
16005000200,Census Tract 2,Bannock County,Idaho,Total,4076.0
16005000301,Census Tract 3.01,Bannock County,Idaho,Total,3872.0
16005000302,Census Tract 3.02,Bannock County,Idaho,Total,5465.0
16005000400,Census Tract 4,Bannock County,Idaho,Total,6693.0
16005000500,Census Tract 5,Bannock County,Idaho,Total,1980.0
16005000600,Census Tract 6,Bannock County,Idaho,Total,3478.0
16005000700,Census Tract 7,Bannock County,Idaho,Total,4706.0
16005000800,Census Tract 8,Bannock County,Idaho,Total,3034.0
16005000900,Census Tract 9,Bannock County,Idaho,Total,2199.0
16005001000,Census Tract 10,Bannock County,Idaho,Total,3107.0
16005001102,Census Tract 11.02,Bannock County,Idaho,Total,3934.0
16005001103,Census Tract 11.03,Bannock County,Idaho,Total,4536.0
16005001104,Census Tract 11.04,Bannock County,Idaho,Total,3287.0
16005001200,Census Tract 12,Bannock County,Idaho,Total,3730.0
16005001300,Census Tract 13,Bannock County,Idaho,Total,2591.0
16005001400,Census Tract 14,Bannock County,Idaho,Total,4132.0
16005001500,Census Tract 15,Bannock County,Idaho,Total,5937.0
16005001601,Census Tract 16.01,Bannock County,Idaho,Total,2711.0
16005001602,Census Tract 16.02,Bannock County,Idaho,Total,3787.0
16005001603,Census Tract 16.03,Bannock County,Idaho,Total,2825.0
16005001700,Census Tract 17,Bannock County,Idaho,Total,3571.0
16005001900,Census Tract 19,Bannock County,Idaho,Total,5716.0
16005940000,Census Tract 9400,Bannock County,Idaho,Total,1642.0
16005981800,Census Tract 9818,Bannock County,Idaho,Total,425.0
16007950100,Census Tract 9501,Bear Lake County,Idaho,Total,3568.0
16007950200,Census Tract 9502,Bear Lake County,Idaho,Total,2868.0
16009940000,Census Tract 9400,Benewah County,Idaho,Total,5451.0
16009950100,Census Tract 9501,Benewah County,Idaho,Total,4280.0
16011940000,Census Tract 9400,Bingham County,Idaho,Total,2562.0
16011950101,Census Tract 9501.01,Bingham County,Idaho,Total,3825.0
16011950102,Census Tract 9501.02,Bingham County,Idaho,Total,5225.0
16011950200,Census Tract 9502,Bingham County,Idaho,Total,3926.0
16011950300,Census Tract 9503,Bingham County,Idaho,Total,5924.0
16011950400,Census Tract 9504,Bingham County,Idaho,Total,7574.0
16011950501,Census Tract 9505.01,Bingham County,Idaho,Total,3360.0
16011950502,Census Tract 9505.02,Bingham County,Idaho,Total,5377.0
16011950600,Census Tract 9506,Bingham County,Idaho,Total,5426.0
16011950700,Census Tract 9507,Bingham County,Idaho,Total,5054.0
16013960101,Census Tract 9601.01,Blaine County,Idaho,Total,2029.0
16013960102,Census Tract 9601.02,Blaine County,Idaho,Total,3187.0
16013960201,Census Tract 9602.01,Blaine County,Idaho,Total,6248.0
16013960202,Census Tract 9602.02,Blaine County,Idaho,Total,5050.0
16013960301,Census Tract 9603.01,Blaine County,Idaho,Total,2054.0
16013960302,Census Tract 9603.02,Blaine County,Idaho,Total,2157.0
16013960501,Census Tract 9605.01,Blaine County,Idaho,Total,2040.0
16013960502,Census Tract 9605.02,Blaine County,Idaho,Total,1483.0
16015950201,Census Tract 9502.01,Boise County,Idaho,Total,1987.0
16015950202,Census Tract 9502.02,Boise County,Idaho,Total,2333.0
16015950203,Census Tract 9502.03,Boise County,Idaho,Total,3489.0
16017950100,Census Tract 9501,Bonner County,Idaho,Total,2506.0
16017950201,Census Tract 9502.01,Bonner County,Idaho,Total,2925.0
16017950202,Census Tract 9502.02,Bonner County,Idaho,Total,2639.0
16017950203,Census Tract 9502.03,Bonner County,Idaho,Total,4489.0
16017950300,Census Tract 9503,Bonner County,Idaho,Total,4039.0
16017950401,Census Tract 9504.01,Bonner County,Idaho,Total,1446.0
16017950402,Census Tract 9504.02,Bonner County,Idaho,Total,3395.0
16017950403,Census Tract 9504.03,Bonner County,Idaho,Total,2810.0
16017950500,Census Tract 9505,Bonner County,Idaho,Total,3678.0
16017950600,Census Tract 9506,Bonner County,Idaho,Total,2248.0
16017950701,Census Tract 9507.01,Bonner County,Idaho,Total,3088.0
16017950702,Census Tract 9507.02,Bonner County,Idaho,Total,2287.0
16017950801,Census Tract 9508.01,Bonner County,Idaho,Total,3918.0
16017950802,Census Tract 9508.02,Bonner County,Idaho,Total,3532.0
16017950901,Census Tract 9509.01,Bonner County,Idaho,Total,1669.0
