FIPS,Tract,County,State,Gini Coefficient,Economic Segregation,Racial Economic Segregation,Racial Segregation,Gender Pay Gap,Uninsured Children,Uninsured (Black),Uninsured (Hispanic),Living Below Poverty (Black),Living Below Poverty (Hispanic),Lack_English_Prof
30031000507,Census Tract 5.07,Gallatin County,Montana,0.4052,0.10137120470127327,0.1792360430950049,0.8683401639344263,0.24219903151461797,0.15555555555555556,,0.0,,0.0,0.0
30031000600,Census Tract 6,Gallatin County,Montana,0.5756,-0.262699564586357,0.09724238026124818,0.8014842300556586,0.1622753414809489,0.0,0.0,0.0,,0.6551724137931034,0.00831758034026465
30031000701,Census Tract 7.01,Gallatin County,Montana,0.4632,0.06056270863137816,0.21697663328564615,0.865717674970344,0.23208496767144882,0.05714285714285714,,0.2084942084942085,,0.0,0.0
30031000703,Census Tract 7.03,Gallatin County,Montana,0.3097,-0.20244716351501668,0.0,0.8869109947643979,0.40159999999999996,0.0,,0.2389937106918239,,0.6176470588235294,0.0
30031000704,Census Tract 7.04,Gallatin County,Montana,0.5176,0.03527980535279805,0.11557177615571776,0.8719652440582674,0.051966161569210745,0.17701863354037267,0.0,0.0,,0.0,0.0
30031000800,Census Tract 8,Gallatin County,Montana,0.5779,0.09952229299363058,0.2611464968152866,0.9273034657650042,0.14451420029895368,0.0,,0.0,,0.0,0.0029914529914529917
30031000900,Census Tract 9,Gallatin County,Montana,0.4699,-0.17819990954319312,0.07824513794663049,0.8115878893487257,0.38295528425919234,0.039886039886039885,,0.11782477341389729,,0.0,0.0022482014388489208
30031001001,Census Tract 10.01,Gallatin County,Montana,0.4001,0.39507154213036566,0.44038155802861684,0.9394216133942161,0.21685272548928025,0.0,,0.0,,0.0,0.0
30031001002,Census Tract 10.02,Gallatin County,Montana,0.5491,0.0219435736677116,0.1961486789072996,0.8805940594059406,-0.010436363636363577,0.0,,0.6835443037974683,,,0.00020429009193054137
30031001101,Census Tract 11.01,Gallatin County,Montana,0.4186,-0.32293423271500843,0.022765598650927487,0.7750800876749283,0.15368991198375082,0.016222479721900347,0.25757575757575757,0.017721518987341773,0.125,0.0,0.003084832904884319
30031001102,Census Tract 11.02,Gallatin County,Montana,0.5015,-0.03258426966292135,0.23651685393258426,0.8017563527653214,-0.05266438142723584,0.08071278825995808,0.0,0.24517906336088155,,0.0,0.005548115553854984
30031001200,Census Tract 12,Gallatin County,Montana,0.3791,0.21094580233793836,0.2104144527098831,0.8907415533128565,0.25757236337911926,0.08581436077057793,0.0,0.3467741935483871,,0.3157894736842105,0.0007088846880907373
30031001500,Census Tract 15,Gallatin County,Montana,0.5063,-0.05698005698005698,0.1452991452991453,0.6260296540362438,0.29283683246991,0.13034188034188035,,0.20854700854700856,,0.11458333333333333,0.06325474410580793
30031001600,Census Tract 16,Gallatin County,Montana,0.46,0.0903277378097522,0.17905675459632295,0.8496060294621446,0.4533517138250893,0.014466546112115732,1.0,0.0,,0.0,0.0
30031001700,Census Tract 17,Gallatin County,Montana,0.4829,0.21413160733549083,0.2998921251348436,0.9487845173471796,0.2915889849934289,0.023006134969325152,0.0,0.017857142857142856,0.0,0.0,0.006809338521400778
30033000100,Census Tract 1,Garfield County,Montana,0.4566,-0.11893203883495146,0.15048543689320387,0.9641393442622951,0.33092304756250135,0.2100456621004566,0.0,,,,0.0
30035940200,Census Tract 9402,Glacier County,Montana,0.4885,-0.36745073108709475,0.019071837253655435,0.016129032258064516,0.06326621689024226,0.33668607728957123,1.0,0.4142857142857143,0.0,0.0,0.0
30035940400,Census Tract 9404,Glacier County,Montana,0.4971,-0.23267750213858,0.08297690333618478,0.25454105110196174,-0.1511568278483304,0.33024431339511373,,0.2463768115942029,,0.0,0.0
30035976000,Census Tract 9760,Glacier County,Montana,0.4312,-0.309971098265896,0.04335260115606936,0.6627089895808093,0.3260387625541634,0.14119749776586238,,0.20710059171597633,,0.9333333333333333,0.03167062549485352
30035980000,Census Tract 9800,Glacier County,Montana,0.6094,-0.6530612244897959,0.0,0.5114503816793893,0.0,0.2413793103448276,,0.35714285714285715,,,0.03816793893129771
30037000100,Census Tract 1,Golden Valley County,Montana,0.4688,-0.2,0.061971830985915494,0.8442330558858502,0.3548387096774194,0.18,0.0,0.125,0.0,0.0,0.0
30039961701,Census Tract 9617.01,Granite County,Montana,0.5141,-0.02626641651031895,0.1275797373358349,0.9668587896253602,0.19118888201204076,0.024305555555555556,,0.0,,0.0,0.0
30039961702,Census Tract 9617.02,Granite County,Montana,0.4571,-0.22592592592592592,0.06296296296296296,0.9121212121212121,-0.2192414963052416,0.13312693498452013,,0.0392156862745098,,0.0,0.0
30041040100,Census Tract 401,Hill County,Montana,0.3365,-0.07677543186180422,0.07869481765834933,0.9270676691729324,0.26603541216611815,0.12056737588652482,,0.0,,0.0,0.0
30041040200,Census Tract 402,Hill County,Montana,0.3948,-0.012084592145015106,0.16012084592145015,0.9465744814582024,0.2600386356598292,0.04178272980501393,,0.0,,,0.0
30041040300,Census Tract 403,Hill County,Montana,0.4587,-0.36970474967907574,-0.0019255455712451862,0.6253267499273889,0.13444645193445892,0.027896995708154508,0.0,0.007067137809187279,,0.5,0.0
30041040400,Census Tract 404,Hill County,Montana,0.3596,-0.04550970873786408,0.08737864077669903,0.79424216765453,0.2572143001959857,0.014738393515106854,0.0,0.0,,0.0,0.0
30041040500,Census Tract 405,Hill County,Montana,0.3135,-0.113345521023766,0.07221206581352833,0.933630109267503,0.08280468625753212,0.03333333333333333,,,,,0.0
30041940300,Census Tract 9403,Hill County,Montana,0.4132,-0.2761904761904762,0.0,0.023516237402015677,0.244503371733633,0.03731343283582089,,0.12142857142857143,,0.0,0.0033472803347280333
30043962201,Census Tract 9622.01,Jefferson County,Montana,0.3598,0.3106469002695418,0.3436657681940701,0.9222748815165877,0.2975631696093921,0.026022304832713755,0.0,0.0684931506849315,,0.0,0.003247564326754934
30043962202,Census Tract 9622.02,Jefferson County,Montana,0.4378,-0.003592814371257485,0.17005988023952096,0.8947134606841404,0.13858140692306375,0.010090817356205853,0.0,0.06382978723404255,,0.0,0.0013950244129272262
30043962300,Census Tract 9623,Jefferson County,Montana,0.4248,-0.114603798297315,0.13097576948264572,0.9146719234018587,0.3219140741782882,0.03917910447761194,0.0,0.4461538461538462,,,0.0014594279042615295
30045000100,Census Tract 1,Judith Basin County,Montana,0.5017,-0.11469933184855234,0.1514476614699332,0.9264345267287887,0.25615293702958797,0.005825242718446602,,0.0,,0.0,0.0010167768174885613
30047000100,Census Tract 1,Lake County,Montana,0.4068,0.028081123244929798,0.19656786271450857,0.9379939209726443,0.4333555594867119,0.014545454545454545,0.0,0.0,,0.0,0.0
30047000200,Census Tract 2,Lake County,Montana,0.5069,0.009287925696594427,0.25386996904024767,0.8871794871794871,0.48463167308931643,0.0,,0.0,,,0.010443864229765013
30047940304,Census Tract 9403.04,Lake County,Montana,0.5072,-0.26905417814508725,0.06795224977043159,0.6827586206896552,-0.12552217223650386,0.1608910891089109,,0.4943820224719101,,1.0,0.0
30047940305,Census Tract 9403.05,Lake County,Montana,0.4071,-0.11295180722891567,0.030873493975903613,0.7154696132596685,0.3663390118620894,0.10259917920656635,0.0,,1.0,,0.005535656138065777
30047940306,Census Tract 9403.06,Lake County,Montana,0.4582,-0.13580246913580246,0.1374485596707819,0.6635547576301616,0.3994663867383983,0.25826446280991733,0.0,0.9,,,0.014385835485060863
