FIPS,Tract,County,State,PM25,Lead Paint,Diesel PM,Toxics Release to Air,Traffic Proximity,Water Discharge,Superfund Proximity,RMP Proximity,Hazardous Waste Proximity,Ozone,Underground Storage Tanks,Nitrogen Dioxide,Drinking Water Noncompliance
49035113702,Census Tract 1137.02,Salt Lake County,Utah,8.66029426229508,0.518028846153846,0.167301187046881,8380.736510090874,1522448.8653950384,1374.7540085454891,0.608307430199019,0.459937171968906,2.485658865189181,71.57394,2.401485083253822,8.363674730051105,0.0
49035113801,Census Tract 1138.01,Salt Lake County,Utah,8.56816693989071,0.113300492610837,0.17943208611256,8063.484908564741,1266656.7251652104,4374.173493182381,0.986956283697463,0.527327645629452,3.14133769646688,71.52293,1.18372893401178,7.663513061313401,0.0
49035113802,Census Tract 1138.02,Salt Lake County,Utah,8.61583879781421,0.637059724349158,0.179667177610917,8128.7049806902305,1448061.5433253576,4514.5858400582665,0.873708071118584,0.617225738133463,3.542323081167649,71.7326,1.180726962437312,7.929615175770392,0.0
49035113804,Census Tract 1138.04,Salt Lake County,Utah,8.54869153005465,0.0,0.167917794558588,7868.3810321515875,1165815.015202012,3959.0165274571696,0.818586908877765,0.46242351632023,2.683770333599313,71.41269,3.058452914120451,7.983279474511863,0.0
49035113805,Census Tract 1138.05,Salt Lake County,Utah,8.61094726775956,0.0,0.167455458403353,8022.636208355672,1304960.9784124491,3229.6989260072987,0.704953628261528,0.530609722415739,2.55639803268657,71.46555,4.328112738280825,8.131806525389734,0.0
49035113903,Census Tract 1139.03,Salt Lake County,Utah,8.3253849726776,0.072612921669525,0.171341772661006,12453.555668424948,516799.4261884968,72440.78859854299,11.33808646850655,0.902473068048909,3.738866526865179,71.83952,1.617114035218773,7.087586875405772,0.0
49035113904,Census Tract 1139.04,Salt Lake County,Utah,8.30557431693989,0.234833659491194,0.170949661159019,12557.049724472596,539596.0114292337,45977.22891895406,11.435732459135323,0.700991630330507,2.890532370790444,71.70206,2.605951003196985,7.132520494841645,0.0
49035113905,Census Tract 1139.05,Salt Lake County,Utah,8.28000519125683,0.0,0.170667594380316,11931.160804202424,526381.991559153,32536.949821802125,11.45108734660186,0.549443091453546,2.660657933141247,71.50424,1.980057096418546,7.383837327413584,0.0
49035113906,Census Tract 1139.06,Salt Lake County,Utah,8.22686885245902,0.492395437262357,0.092481046721029,17989.546735333468,479680.5226419061,75173.66758836375,11.936948105523188,0.927090034975676,3.127390404744655,73.03394,3.59850302449854,6.279849452199795,0.0
49035113908,Census Tract 1139.08,Salt Lake County,Utah,8.16761994535519,0.366171003717472,0.072171725547754,15966.44555400038,364246.3242474565,48230.20935555304,12.173659497359433,0.56467995308297,2.15790699353197,71.48683,1.713078385102161,6.603826500667607,0.0
49035113909,Census Tract 1139.09,Salt Lake County,Utah,7.81315956284153,0.016273393002441,0.113110005853804,6626.980744,534069.254769624,34083.51643099768,2.227939122014614,0.644110617548134,1.86559449416104,70.40049,0.112607862592865,5.168912410736084,17.77018785069529
49035114000,Census Tract 1140.00,Salt Lake County,Utah,8.42957786885246,0.127386053759252,0.415786258620472,7939.828862593462,3942631.7101837914,1695.9684279024686,1.728952987295904,1.255795551442606,9.572701143896303,73.93851999999998,12.821245224019574,12.692165699233447,0.0
49035114100,Census Tract 1141.00,Salt Lake County,Utah,8.26962486338798,0.464991982896847,0.335799906282062,4457.720850854272,3208837.9085472315,1781.4646568373344,0.993072942219774,0.527835515546216,4.927538729331841,73.36109,3.222750041239922,9.451414465837676,0.0
49035114200,Census Tract 1142.00,Salt Lake County,Utah,8.63760765027322,0.006838506049448,0.29296029915193,26935.006412846345,2326419.685990426,2954.3296619909006,5.152120426543528,0.377779425003356,2.047880877886678,71.55534,3.165672684970435,10.168244558858031,21.479558225150164
49035114301,Census Tract 1143.01,Salt Lake County,Utah,8.65279699453552,0.0,0.172265729215732,8648.114294019417,1699535.4798632076,1373.6595930752187,0.535524688103581,0.395082885950302,1.749077328550565,71.53055,0.996157944780529,9.074221070936298,16.80348394120849
49035114302,Census Tract 1143.02,Salt Lake County,Utah,8.51780081967213,0.0,0.175719738135617,6471.352101,1280088.6219803586,1194.620395648417,0.581344767773111,0.433376064901247,1.878693581269864,71.10924,4.497956337551538,8.830788612365723,21.001058948111545
49035114303,Census Tract 1143.03,Salt Lake County,Utah,8.11278524590164,0.030181818181818,0.144675510662573,5382.013840433608,533563.3218533763,103.37498341300213,0.942322339834901,0.7027564094853,1.423599887017917,70.33215,0.791920834036506,8.494794998005316,24.0
49035114304,Census Tract 1143.04,Salt Lake County,Utah,8.33250300546448,0.0,0.172924551386333,5294.816902497156,875823.1235722422,323.3567147193117,0.573703130008433,0.689216291507157,1.25976483435498,70.76467,1.448449782026143,9.196315582898787,24.0
49035114500,Census Tract 1145.00,Salt Lake County,Utah,8.59721420765027,0.002154243860405,0.261531708540918,6257.662607812075,1880036.2692178949,21334.854107633008,1.705089045349448,1.225760776415455,7.993807238139228,73.111,2.09491497235184,9.244206138999088,0.0
49035114601,Census Tract 1146.01,Salt Lake County,Utah,8.26353715846995,0.033169533169533,0.208493982411336,3560.736290526811,1238061.007576031,2250.7766135723596,0.800474389261094,0.284064261221675,0.837692824885305,70.66925,1.459141996775074,8.937823215387727,0.0
49035114602,Census Tract 1146.02,Salt Lake County,Utah,8.17831721311475,0.103954802259887,0.207593099222245,3638.161543,1138774.4486910093,2777.1599558812823,0.339046933890327,0.289792251041405,0.634156952640524,70.32583,1.445329158143197,8.561456680297852,0.0
49035114700,Census Tract 1147.00,Salt Lake County,Utah,8.34617950819672,0.58560794044665,0.227079783375574,7254.094397992207,1888912.4705295505,4252.935737621009,1.129164866873214,2.234083170343744,9.465589051287314,74.27852,1.785586833456906,9.288580084466314,0.0
