"FIPS","County","State","measure","value"
32011,"Eureka County","Nevada","Gini Coefficient",0.3868
32013,"Humboldt County","Nevada","Gini Coefficient",0.4368
32015,"Lander County","Nevada","Gini Coefficient",0.4184
32017,"Lincoln County","Nevada","Gini Coefficient",0.3908
32019,"Lyon County","Nevada","Gini Coefficient",0.4121
32021,"Mineral County","Nevada","Gini Coefficient",0.4095
32023,"Nye County","Nevada","Gini Coefficient",0.4427
32027,"Pershing County","Nevada","Gini Coefficient",0.3923
32029,"Storey County","Nevada","Gini Coefficient",0.4186
32031,"Washoe County","Nevada","Gini Coefficient",0.4661
32033,"White Pine County","Nevada","Gini Coefficient",0.3571
32510,"Carson City","Nevada","Gini Coefficient",0.4464
49001,"Beaver County","Utah","Gini Coefficient",0.3437
49003,"Box Elder County","Utah","Gini Coefficient",0.3973
49005,"Cache County","Utah","Gini Coefficient",0.4316
49007,"Carbon County","Utah","Gini Coefficient",0.4393
49009,"Daggett County","Utah","Gini Coefficient",0.4086
49011,"Davis County","Utah","Gini Coefficient",0.3909
49013,"Duchesne County","Utah","Gini Coefficient",0.4246
49015,"Emery County","Utah","Gini Coefficient",0.3824
49017,"Garfield County","Utah","Gini Coefficient",0.4577
49019,"Grand County","Utah","Gini Coefficient",0.4801
49021,"Iron County","Utah","Gini Coefficient",0.429
49023,"Juab County","Utah","Gini Coefficient",0.3742
49025,"Kane County","Utah","Gini Coefficient",0.4395
49027,"Millard County","Utah","Gini Coefficient",0.36
49029,"Morgan County","Utah","Gini Coefficient",0.3649
49031,"Piute County","Utah","Gini Coefficient",0.4586
49033,"Rich County","Utah","Gini Coefficient",0.3736
49035,"Salt Lake County","Utah","Gini Coefficient",0.4297
49037,"San Juan County","Utah","Gini Coefficient",0.4614
49039,"Sanpete County","Utah","Gini Coefficient",0.4095
49041,"Sevier County","Utah","Gini Coefficient",0.3874
49043,"Summit County","Utah","Gini Coefficient",0.5026
49045,"Tooele County","Utah","Gini Coefficient",0.3883
49047,"Uintah County","Utah","Gini Coefficient",0.4507
49049,"Utah County","Utah","Gini Coefficient",0.4143
49051,"Wasatch County","Utah","Gini Coefficient",0.4683
49053,"Washington County","Utah","Gini Coefficient",0.4513
49055,"Wayne County","Utah","Gini Coefficient",0.3855
49057,"Weber County","Utah","Gini Coefficient",0.3985
56001,"Albany County","Wyoming","Gini Coefficient",0.4861
56003,"Big Horn County","Wyoming","Gini Coefficient",0.4191
56005,"Campbell County","Wyoming","Gini Coefficient",0.3918
56007,"Carbon County","Wyoming","Gini Coefficient",0.4181
56009,"Converse County","Wyoming","Gini Coefficient",0.4106
56011,"Crook County","Wyoming","Gini Coefficient",0.3738
56013,"Fremont County","Wyoming","Gini Coefficient",0.4204
56015,"Goshen County","Wyoming","Gini Coefficient",0.4571
56017,"Hot Springs County","Wyoming","Gini Coefficient",0.3999
56019,"Johnson County","Wyoming","Gini Coefficient",0.4534
56021,"Laramie County","Wyoming","Gini Coefficient",0.4364
56023,"Lincoln County","Wyoming","Gini Coefficient",0.3843
56025,"Natrona County","Wyoming","Gini Coefficient",0.4456
56027,"Niobrara County","Wyoming","Gini Coefficient",0.49
56029,"Park County","Wyoming","Gini Coefficient",0.4511
56031,"Platte County","Wyoming","Gini Coefficient",0.421
56033,"Sheridan County","Wyoming","Gini Coefficient",0.4425
56035,"Sublette County","Wyoming","Gini Coefficient",0.5435
56037,"Sweetwater County","Wyoming","Gini Coefficient",0.4411
56039,"Teton County","Wyoming","Gini Coefficient",0.5222
56041,"Uinta County","Wyoming","Gini Coefficient",0.3647
56043,"Washakie County","Wyoming","Gini Coefficient",0.4231
56045,"Weston County","Wyoming","Gini Coefficient",0.4291
16001,"Ada County","Idaho","Economic Segregation",0.116542958820539
16003,"Adams County","Idaho","Economic Segregation",-0.0702054794520548
16005,"Bannock County","Idaho","Economic Segregation",-0.0925314937012598
16007,"Bear Lake County","Idaho","Economic Segregation",-0.0632582322357019
16009,"Benewah County","Idaho","Economic Segregation",-0.118149824032177
16011,"Bingham County","Idaho","Economic Segregation",0.00743331875819851
16013,"Blaine County","Idaho","Economic Segregation",0.0877621665648544
16015,"Boise County","Idaho","Economic Segregation",0.00766174801362089
16017,"Bonner County","Idaho","Economic Segregation",-0.0755650798510128
16019,"Bonneville County","Idaho","Economic Segregation",0.0148462354188759
16021,"Boundary County","Idaho","Economic Segregation",-0.160910031023785
16023,"Butte County","Idaho","Economic Segregation",-0.236971484759095
16025,"Camas County","Idaho","Economic Segregation",-0.0530973451327434
16027,"Canyon County","Idaho","Economic Segregation",-0.0273580807105619
16029,"Caribou County","Idaho","Economic Segregation",-0.0958847736625514
16031,"Cassia County","Idaho","Economic Segregation",-0.0725904345714979
16033,"Clark County","Idaho","Economic Segregation",-0.214285714285714
16035,"Clearwater County","Idaho","Economic Segregation",-0.161190676776186
16037,"Custer County","Idaho","Economic Segregation",-0.177961717537506
16039,"Elmore County","Idaho","Economic Segregation",-0.106102507374631
16041,"Franklin County","Idaho","Economic Segregation",-0.00410677618069815
16043,"Fremont County","Idaho","Economic Segregation",-0.0410563692853972
