FIPS,County,State,measure,value
30009,Carbon County,Montana,Total,10877.0
30011,Carter County,Montana,Total,1361.0
30013,Cascade County,Montana,Total,84601.0
30015,Chouteau County,Montana,Total,5888.0
30017,Custer County,Montana,Total,11938.0
30019,Daniels County,Montana,Total,1524.0
30021,Dawson County,Montana,Total,8874.0
30023,Deer Lodge County,Montana,Total,9512.0
30025,Fallon County,Montana,Total,2817.0
30027,Fergus County,Montana,Total,11581.0
30029,Flathead County,Montana,Total,108445.0
30031,Gallatin County,Montana,Total,122194.0
30033,Garfield County,Montana,Total,938.0
30035,Glacier County,Montana,Total,13713.0
30037,Golden Valley County,Montana,Total,840.0
30039,Granite County,Montana,Total,3419.0
30041,Hill County,Montana,Total,16260.0
30043,Jefferson County,Montana,Total,12501.0
30045,Judith Basin County,Montana,Total,2053.0
30047,Lake County,Montana,Total,32073.0
30049,Lewis And Clark County,Montana,Total,72580.0
30051,Liberty County,Montana,Total,1968.0
30053,Lincoln County,Montana,Total,20656.0
30055,McCone County,Montana,Total,1818.0
30057,Madison County,Montana,Total,8975.0
30059,Meagher County,Montana,Total,1979.0
30061,Mineral County,Montana,Total,4796.0
30063,Missoula County,Montana,Total,119639.0
30065,Musselshell County,Montana,Total,5068.0
30067,Park County,Montana,Total,17484.0
30069,Petroleum County,Montana,Total,401.0
30071,Phillips County,Montana,Total,4224.0
30073,Pondera County,Montana,Total,6012.0
30075,Powder River County,Montana,Total,1762.0
30077,Powell County,Montana,Total,7029.0
30079,Prairie County,Montana,Total,1251.0
30081,Ravalli County,Montana,Total,45807.0
30083,Richland County,Montana,Total,11329.0
30085,Roosevelt County,Montana,Total,10665.0
30087,Rosebud County,Montana,Total,8236.0
30089,Sanders County,Montana,Total,12936.0
30091,Sheridan County,Montana,Total,3677.0
30093,Silver Bow County,Montana,Total,35589.0
30095,Stillwater County,Montana,Total,9052.0
30097,Sweet Grass County,Montana,Total,3713.0
30099,Teton County,Montana,Total,6291.0
30101,Toole County,Montana,Total,5028.0
30103,Treasure County,Montana,Total,761.0
30105,Valley County,Montana,Total,7540.0
30107,Wheatland County,Montana,Total,2049.0
30109,Wibaux County,Montana,Total,1148.0
30111,Yellowstone County,Montana,Total,167340.0
32001,Churchill County,Nevada,Total,25614.0
32003,Clark County,Nevada,Total,2293764.0
32005,Douglas County,Nevada,Total,49624.0
32007,Elko County,Nevada,Total,53852.0
32009,Esmeralda County,Nevada,Total,962.0
32011,Eureka County,Nevada,Total,1660.0
32013,Humboldt County,Nevada,Total,17299.0
32015,Lander County,Nevada,Total,5745.0
32017,Lincoln County,Nevada,Total,4452.0
32019,Lyon County,Nevada,Total,60630.0
32021,Mineral County,Nevada,Total,4557.0
32023,Nye County,Nevada,Total,53207.0
32027,Pershing County,Nevada,Total,6505.0
32029,Storey County,Nevada,Total,4139.0
32031,Washoe County,Nevada,Total,491770.0
32033,White Pine County,Nevada,Total,8856.0
32510,Carson City,Nevada,Total,58364.0
49001,Beaver County,Utah,Total,7172.0
49003,Box Elder County,Utah,Total,59725.0
49005,Cache County,Utah,Total,137031.0
49007,Carbon County,Utah,Total,20446.0
49009,Daggett County,Utah,Total,747.0
49011,Davis County,Utah,Total,366742.0
49013,Duchesne County,Utah,Total,19932.0
49015,Emery County,Utah,Total,9968.0
49017,Garfield County,Utah,Total,5170.0
49019,Grand County,Utah,Total,9697.0
49021,Iron County,Utah,Total,60201.0
49023,Juab County,Utah,Total,12273.0
49025,Kane County,Utah,Total,7996.0
49027,Millard County,Utah,Total,13179.0
49029,Morgan County,Utah,Total,12585.0
49031,Piute County,Utah,Total,1705.0
49033,Rich County,Utah,Total,2588.0
49035,Salt Lake County,Utah,Total,1184689.0
49037,San Juan County,Utah,Total,14466.0
49039,Sanpete County,Utah,Total,29209.0
49041,Sevier County,Utah,Total,21854.0
49043,Summit County,Utah,Total,42709.0
49045,Tooele County,Utah,Total,76648.0
49047,Uintah County,Utah,Total,36458.0
49049,Utah County,Utah,Total,683622.0
49051,Wasatch County,Utah,Total,35808.0
49053,Washington County,Utah,Total,189827.0
49055,Wayne County,Utah,Total,2557.0
49057,Weber County,Utah,Total,266183.0
56001,Albany County,Wyoming,Total,37713.0
56003,Big Horn County,Wyoming,Total,11737.0
56005,Campbell County,Wyoming,Total,47018.0
56007,Carbon County,Wyoming,Total,14549.0
56009,Converse County,Wyoming,Total,13759.0
56011,Crook County,Wyoming,Total,7339.0
56013,Fremont County,Wyoming,Total,39472.0
56015,Goshen County,Wyoming,Total,12587.0
56017,Hot Springs County,Wyoming,Total,4618.0
56019,Johnson County,Wyoming,Total,8602.0
56021,Laramie County,Wyoming,Total,100661.0
56023,Lincoln County,Wyoming,Total,20158.0
56025,Natrona County,Wyoming,Total,79735.0
56027,Niobrara County,Wyoming,Total,2415.0
56029,Park County,Wyoming,Total,30109.0
56031,Platte County,Wyoming,Total,8606.0
56033,Sheridan County,Wyoming,Total,31585.0
56035,Sublette County,Wyoming,Total,8806.0
56037,Sweetwater County,Wyoming,Total,41786.0
56039,Teton County,Wyoming,Total,23358.0
56041,Uinta County,Wyoming,Total,20605.0
56043,Washakie County,Wyoming,Total,7708.0
56045,Weston County,Wyoming,Total,6835.0
16001,Ada County,Idaho,Under 18,0.22452622959854504
16003,Adams County,Idaho,Under 18,0.17134159599913024
16005,Bannock County,Idaho,Under 18,0.25446262025616967
16007,Bear Lake County,Idaho,Under 18,0.27106227106227104
16009,Benewah County,Idaho,Under 18,0.22082114395238575
16011,Bingham County,Idaho,Under 18,0.2973894229787929
16013,Blaine County,Idaho,Under 18,0.19589893811790554
16015,Boise County,Idaho,Under 18,0.1536357986326911
16017,Bonner County,Idaho,Under 18,0.1962148172112585
16019,Bonneville County,Idaho,Under 18,0.30191411660999873
16021,Boundary County,Idaho,Under 18,0.23332020480504134
16023,Butte County,Idaho,Under 18,0.26563677467972874
16025,Camas County,Idaho,Under 18,0.3316017316017316
16027,Canyon County,Idaho,Under 18,0.2715661805655824
16029,Caribou County,Idaho,Under 18,0.27479629109300363
16031,Cassia County,Idaho,Under 18,0.31225909000596064
16033,Clark County,Idaho,Under 18,0.28865979381443296
16035,Clearwater County,Idaho,Under 18,0.1530097522699249
16037,Custer County,Idaho,Under 18,0.11131262752210383
