FIPS,County,State,Total,Under 18,18 to 64,Over 64,White,Black,AIAN,Asian,NHOPI,Hispanic,Other_Races,Below 9th grade,High School,College,Advanced Degree,Urban_Percentage
16051,Jefferson County,Idaho,32234,0.32859713346156233,0.5560898430228951,0.1153130235155426,0.8607371098839735,0.0005894397220326363,0.0055841657876776075,0.0006514860085623875,0.00015511571632437798,0.10811565427809146,0.02416702860333809,0.027602776294714363,0.8902295782167645,0.27180993059263214,0.0783235451147891,0.332880126897802
16053,Jerome County,Idaho,24788,0.29990317895756013,0.5668468613845409,0.133249959657899,0.5753187025980313,0.0009278683233822818,0.0011295788284653866,0.0010892367274487654,0.0010085525254155236,0.38454090689043086,0.03598515410682589,0.14384191176470587,0.6975446428571429,0.13360031512605042,0.043198529411764705,0.511820769897265
16055,Kootenai County,Idaho,177736,0.2256323986136742,0.5774294459197912,0.19693815546653465,0.8629878021335013,0.0029988297249853714,0.007190439753342035,0.007522392762299141,0.0002925687536571094,0.05436715128055093,0.06464081559166404,0.015831917144964246,0.8889841921313367,0.28759579311892775,0.09770898130631353,0.764883696502142
16057,Latah County,Idaho,40315,0.18913555748480715,0.6661540369589483,0.14471040555624456,0.8559097110256728,0.010417958576212328,0.005432221257596428,0.020662284509487785,0.0021332010417958575,0.05102319236016371,0.05442143122907107,0.010605932561480605,0.9260120003380377,0.44899856333981236,0.1775542973041494,0.655768403471923
16059,Lemhi County,Idaho,8166,0.1830761694832231,0.5126132745530247,0.3043105559637521,0.916972814107274,0.0001224589762429586,0.007714915503306392,0.0007347538574577516,0.0033063923585598823,0.018123928483957875,0.05302473671320108,0.008949287371561154,0.8937686443486907,0.2292011932383162,0.08717268810076234,0.0
16061,Lewis County,Idaho,3649,0.21978624280624828,0.502329405316525,0.27788435187722665,0.822143052891203,0.016990956426418197,0.014524527267744588,0.009043573581803233,0.0,0.040559057275966016,0.0967388325568649,0.030109145652992095,0.8253669552126458,0.19984945427173503,0.05457282649604817,0.0
16063,Lincoln County,Idaho,5276,0.260235026535254,0.5849128127369219,0.15485216072782412,0.6328658074298711,0.006444275966641395,0.005875663381349507,0.004359363153904473,0.0,0.32012888551933283,0.030326004548900682,0.09254498714652956,0.7766352470722651,0.11625249928591831,0.04655812624964296,0.0
16065,Madison County,Idaho,53578,0.20532681324424204,0.7414983761991862,0.05317481055657173,0.844955018851021,0.009182873567509053,0.003042293478666617,0.01440889917503453,0.003471574153570495,0.0971107544141252,0.027828586360073165,0.0098126178068522,0.9494955094799867,0.40320434637986474,0.11930369220534427,0.781093493092435
16067,Minidoka County,Idaho,21922,0.2922634796095247,0.5506796825107199,0.1570568378797555,0.5968433537086032,0.00305629048444485,0.006066964693002463,0.002189581242587355,0.0,0.36684609068515645,0.02499771918620564,0.0895007342143906,0.7536710719530103,0.1683553597650514,0.0709985315712188,0.556378105769676
16069,Nez Perce County,Idaho,42477,0.21406879016879723,0.5803375944628858,0.20559361536831697,0.8611483861854651,0.0007298067189302446,0.0431292228735551,0.008310379734915366,0.0021658780045671774,0.04268192198130753,0.041834404501259505,0.023814328960645812,0.8794820047090481,0.2675748402287252,0.08688193743693239,0.810905203136137
