GEOID,Tract,County,State,FacID,cat,measure,value,RE,Sex,def,fmt,source,lbl
16001000805,Census Tract 8.05,Ada County,ID,185,Travel time to Screening Facility,Minutes,7.28816215819,NA,NA,Minutes to Gastroenterology,float64,src-TBD,7
16001000805,Census Tract 8.05,Ada County,ID,688,Travel time to Screening Facility,Minutes,7.95588870184,NA,NA,Minutes to Lung Cancer Screening,float64,src-TBD,8
16001000805,Census Tract 8.05,Ada County,ID,874,Travel time to Screening Facility,Minutes,7.95588870184,NA,NA,Minutes to Mammography,float64,src-TBD,8
16001000806,Census Tract 8.06,Ada County,ID,185,Travel time to Screening Facility,Minutes,3.63854158057,NA,NA,Minutes to Gastroenterology,float64,src-TBD,4
16001000806,Census Tract 8.06,Ada County,ID,688,Travel time to Screening Facility,Minutes,4.30626812423,NA,NA,Minutes to Lung Cancer Screening,float64,src-TBD,4
16001000806,Census Tract 8.06,Ada County,ID,874,Travel time to Screening Facility,Minutes,4.30626812423,NA,NA,Minutes to Mammography,float64,src-TBD,4
16001000807,Census Tract 8.07,Ada County,ID,185,Travel time to Screening Facility,Minutes,5.46371452934,NA,NA,Minutes to Gastroenterology,float64,src-TBD,5
16001000807,Census Tract 8.07,Ada County,ID,688,Travel time to Screening Facility,Minutes,6.13144107299,NA,NA,Minutes to Lung Cancer Screening,float64,src-TBD,6
16001000807,Census Tract 8.07,Ada County,ID,874,Travel time to Screening Facility,Minutes,6.13144107299,NA,NA,Minutes to Mammography,float64,src-TBD,6
16001000808,Census Tract 8.08,Ada County,ID,185,Travel time to Screening Facility,Minutes,5.27814859597,NA,NA,Minutes to Gastroenterology,float64,src-TBD,5
16001000808,Census Tract 8.08,Ada County,ID,688,Travel time to Screening Facility,Minutes,5.94587513962,NA,NA,Minutes to Lung Cancer Screening,float64,src-TBD,6
16001000808,Census Tract 8.08,Ada County,ID,874,Travel time to Screening Facility,Minutes,5.94587513962,NA,NA,Minutes to Mammography,float64,src-TBD,6
16001000809,Census Tract 8.09,Ada County,ID,185,Travel time to Screening Facility,Minutes,8.32266385164,NA,NA,Minutes to Gastroenterology,float64,src-TBD,8
16001000809,Census Tract 8.09,Ada County,ID,688,Travel time to Screening Facility,Minutes,8.99039039529,NA,NA,Minutes to Lung Cancer Screening,float64,src-TBD,9
16001000809,Census Tract 8.09,Ada County,ID,874,Travel time to Screening Facility,Minutes,8.99039039529,NA,NA,Minutes to Mammography,float64,src-TBD,9
16001000810,Census Tract 8.10,Ada County,ID,185,Travel time to Screening Facility,Minutes,7.08156753399,NA,NA,Minutes to Gastroenterology,float64,src-TBD,7
16001000810,Census Tract 8.10,Ada County,ID,688,Travel time to Screening Facility,Minutes,7.74929407764,NA,NA,Minutes to Lung Cancer Screening,float64,src-TBD,8
16001000810,Census Tract 8.10,Ada County,ID,874,Travel time to Screening Facility,Minutes,7.74929407764,NA,NA,Minutes to Mammography,float64,src-TBD,8
16001000901,Census Tract 9.01,Ada County,ID,185,Travel time to Screening Facility,Minutes,5.43427917274,NA,NA,Minutes to Gastroenterology,float64,src-TBD,5
16001000901,Census Tract 9.01,Ada County,ID,688,Travel time to Screening Facility,Minutes,6.10200571639,NA,NA,Minutes to Lung Cancer Screening,float64,src-TBD,6
16001000901,Census Tract 9.01,Ada County,ID,874,Travel time to Screening Facility,Minutes,6.10200571639,NA,NA,Minutes to Mammography,float64,src-TBD,6
16001000902,Census Tract 9.02,Ada County,ID,185,Travel time to Screening Facility,Minutes,3.71276253797,NA,NA,Minutes to Gastroenterology,float64,src-TBD,4
16001000902,Census Tract 9.02,Ada County,ID,688,Travel time to Screening Facility,Minutes,4.38048908162,NA,NA,Minutes to Lung Cancer Screening,float64,src-TBD,4
16001000902,Census Tract 9.02,Ada County,ID,874,Travel time to Screening Facility,Minutes,4.38048908162,NA,NA,Minutes to Mammography,float64,src-TBD,4
16001001001,Census Tract 10.01,Ada County,ID,191,Travel time to Screening Facility,Minutes,2.70607280066,NA,NA,Minutes to Gastroenterology,float64,src-TBD,3
16001001001,Census Tract 10.01,Ada County,ID,689,Travel time to Screening Facility,Minutes,2.40742365741,NA,NA,Minutes to Lung Cancer Screening,float64,src-TBD,2
