"FIPS","Tract","County","State","measure","value"
16027021701,"Census Tract 217.01","Canyon County","Idaho","Total",5801
16027021702,"Census Tract 217.02","Canyon County","Idaho","Total",6416
16027021801,"Census Tract 218.01","Canyon County","Idaho","Total",4410
16027021802,"Census Tract 218.02","Canyon County","Idaho","Total",3369
16027021901,"Census Tract 219.01","Canyon County","Idaho","Total",7680
16027021904,"Census Tract 219.04","Canyon County","Idaho","Total",3749
16027021905,"Census Tract 219.05","Canyon County","Idaho","Total",4166
16027021906,"Census Tract 219.06","Canyon County","Idaho","Total",5631
16027021907,"Census Tract 219.07","Canyon County","Idaho","Total",3098
16027022100,"Census Tract 221","Canyon County","Idaho","Total",4963
16027022200,"Census Tract 222","Canyon County","Idaho","Total",5600
16027022301,"Census Tract 223.01","Canyon County","Idaho","Total",3219
16027022302,"Census Tract 223.02","Canyon County","Idaho","Total",1318
16027022303,"Census Tract 223.03","Canyon County","Idaho","Total",2589
16027022400,"Census Tract 224","Canyon County","Idaho","Total",5186
16029960100,"Census Tract 9601","Caribou County","Idaho","Total",4418
16029960200,"Census Tract 9602","Caribou County","Idaho","Total",2700
16031950100,"Census Tract 9501","Cassia County","Idaho","Total",2959
16031950200,"Census Tract 9502","Cassia County","Idaho","Total",3548
16031950300,"Census Tract 9503","Cassia County","Idaho","Total",5515
16031950400,"Census Tract 9504","Cassia County","Idaho","Total",4079
16031950500,"Census Tract 9505","Cassia County","Idaho","Total",6251
16031950600,"Census Tract 9506","Cassia County","Idaho","Total",2813
16033950100,"Census Tract 9501","Clark County","Idaho","Total",776
16035940001,"Census Tract 9400.01","Clearwater County","Idaho","Total",2078
16035940002,"Census Tract 9400.02","Clearwater County","Idaho","Total",3656
16035970100,"Census Tract 9701","Clearwater County","Idaho","Total",3187
16037960200,"Census Tract 9602","Custer County","Idaho","Total",4411
16039960100,"Census Tract 9601","Elmore County","Idaho","Total",3017
16039960201,"Census Tract 9602.01","Elmore County","Idaho","Total",4942
16039960202,"Census Tract 9602.02","Elmore County","Idaho","Total",4594
16039960300,"Census Tract 9603","Elmore County","Idaho","Total",4191
16039960401,"Census Tract 9604.01","Elmore County","Idaho","Total",5319
16039960402,"Census Tract 9604.02","Elmore County","Idaho","Total",3785
16039960500,"Census Tract 9605","Elmore County","Idaho","Total",3198
16041970100,"Census Tract 9701","Franklin County","Idaho","Total",7791
16041970200,"Census Tract 9702","Franklin County","Idaho","Total",6924
16043970100,"Census Tract 9701","Fremont County","Idaho","Total",1268
