FIPS,Tract,County,State,measure,value
16001010406,Census Tract 104.06,Ada County,Idaho,Vacancy Rate,0.03442622950819672
16001010407,Census Tract 104.07,Ada County,Idaho,Vacancy Rate,0.0
16001010408,Census Tract 104.08,Ada County,Idaho,Vacancy Rate,0.0
16001010409,Census Tract 104.09,Ada County,Idaho,Vacancy Rate,0.0
16001010410,Census Tract 104.10,Ada County,Idaho,Vacancy Rate,0.07101449275362319
16001010411,Census Tract 104.11,Ada County,Idaho,Vacancy Rate,0.0
16001010501,Census Tract 105.01,Ada County,Idaho,Vacancy Rate,0.06235011990407674
16001010503,Census Tract 105.03,Ada County,Idaho,Vacancy Rate,0.0327455919395466
16001010505,Census Tract 105.05,Ada County,Idaho,Vacancy Rate,0.038825757575757576
16001010506,Census Tract 105.06,Ada County,Idaho,Vacancy Rate,0.056363636363636366
16003950100,Census Tract 9501,Adams County,Idaho,Vacancy Rate,0.4472103004291845
16003950200,Census Tract 9502,Adams County,Idaho,Vacancy Rate,0.29669588671611596
16005000200,Census Tract 2,Bannock County,Idaho,Vacancy Rate,0.015032211882605583
16005000301,Census Tract 3.01,Bannock County,Idaho,Vacancy Rate,0.07923497267759563
16005000302,Census Tract 3.02,Bannock County,Idaho,Vacancy Rate,0.03626149131767109
16005000400,Census Tract 4,Bannock County,Idaho,Vacancy Rate,0.0
16005000500,Census Tract 5,Bannock County,Idaho,Vacancy Rate,0.0
16005000600,Census Tract 6,Bannock County,Idaho,Vacancy Rate,0.1203288490284006
16005000700,Census Tract 7,Bannock County,Idaho,Vacancy Rate,0.10197960407918416
16005000800,Census Tract 8,Bannock County,Idaho,Vacancy Rate,0.11200585651537336
16005000900,Census Tract 9,Bannock County,Idaho,Vacancy Rate,0.0859106529209622
16005001000,Census Tract 10,Bannock County,Idaho,Vacancy Rate,0.018620689655172412
16005001102,Census Tract 11.02,Bannock County,Idaho,Vacancy Rate,0.08100748808713411
16005001103,Census Tract 11.03,Bannock County,Idaho,Vacancy Rate,0.038485804416403785
16005001104,Census Tract 11.04,Bannock County,Idaho,Vacancy Rate,0.0
16005001200,Census Tract 12,Bannock County,Idaho,Vacancy Rate,0.0616
16005001300,Census Tract 13,Bannock County,Idaho,Vacancy Rate,0.08839779005524862
16005001400,Census Tract 14,Bannock County,Idaho,Vacancy Rate,0.08837707552222818
16005001500,Census Tract 15,Bannock County,Idaho,Vacancy Rate,0.07861369399830938
16005001601,Census Tract 16.01,Bannock County,Idaho,Vacancy Rate,0.0874384236453202
16005001602,Census Tract 16.02,Bannock County,Idaho,Vacancy Rate,0.07697082557417753
16005001603,Census Tract 16.03,Bannock County,Idaho,Vacancy Rate,0.11326164874551971
16005001700,Census Tract 17,Bannock County,Idaho,Vacancy Rate,0.0
16005001900,Census Tract 19,Bannock County,Idaho,Vacancy Rate,0.1686451084731887
16005940000,Census Tract 9400,Bannock County,Idaho,Vacancy Rate,0.11806543385490754
16005981800,Census Tract 9818,Bannock County,Idaho,Vacancy Rate,0.05263157894736842
16007950100,Census Tract 9501,Bear Lake County,Idaho,Vacancy Rate,0.22433035714285715
16007950200,Census Tract 9502,Bear Lake County,Idaho,Vacancy Rate,0.5563480741797432
16009940000,Census Tract 9400,Benewah County,Idaho,Vacancy Rate,0.20055710306406685
16009950100,Census Tract 9501,Benewah County,Idaho,Vacancy Rate,0.15606130980027869
16011940000,Census Tract 9400,Bingham County,Idaho,Vacancy Rate,0.14299516908212562
16011950101,Census Tract 9501.01,Bingham County,Idaho,Vacancy Rate,0.06058221872541306
16011950102,Census Tract 9501.02,Bingham County,Idaho,Vacancy Rate,0.06094929881337648
16011950200,Census Tract 9502,Bingham County,Idaho,Vacancy Rate,0.071024512884978
16011950300,Census Tract 9503,Bingham County,Idaho,Vacancy Rate,0.15048975957257346
16011950400,Census Tract 9504,Bingham County,Idaho,Vacancy Rate,0.08414113997673517
16011950501,Census Tract 9505.01,Bingham County,Idaho,Vacancy Rate,0.0
