"FIPS","County","State","Insurance.Coverage","Medicaid.Enrollment","Household.Income","Annual.Labor.Force.Participation.Rate","Annual.Unemployment.Rate","Below.Poverty","Received.Public.Assistance","Monthly.Unemployment.Rate..Sep.","Uninsured"
30057,"Madison County","Montana",0.926121076233184,0.138340807174888,67420,0.535548086866598,0.0149650012068549,0.0443811074918567,0.0472589792060491,0.026,0.0738789237668162
30059,"Meagher County","Montana",0.967196309584828,0.18298308559713,56215,0.567462520821766,0.000978473581213307,0.160899653979239,0.0858416945373467,0.022,0.0328036904151717
30061,"Mineral County","Montana",0.916684155299056,0.284155299055614,61117,0.528811830698623,0.0395371263259402,0.116863905325444,0.169324577861163,0.042,0.0833158447009444
30063,"Missoula County","Montana",0.935870764514146,0.180621415155522,71246,0.696773354930958,0.0445576522924589,0.0475697296525124,0.0948840091398474,0.025,0.0641292354858544
30065,"Musselshell County","Montana",0.910119047619048,0.231746031746032,59010,0.528445608188527,0.0594594594594595,0.107402031930334,0.0980760206475833,0.03,0.0898809523809524
30067,"Park County","Montana",0.915399677493665,0.168797512093988,66607,0.626654127762477,0.0288348161646479,0.0782011519716438,0.0703645391788785,0.021,0.084600322506335
30069,"Petroleum County","Montana",0.937655860349127,0.129675810473815,59318,0.640804597701149,0.00896860986547085,0.0234375,0.015,0.031,0.0623441396508728
30071,"Phillips County","Montana",0.92477769766883,0.27661619802932,58156,0.592057761732852,0.0340447154471545,0.0420168067226891,0.0853589598643301,0.033,0.0752223023311704
30073,"Pondera County","Montana",0.923504633529907,0.391743892165122,53500,0.57967032967033,0.0645278891724389,0.149128919860627,0.115625,0.027,0.0764953664700927
30075,"Powder River County","Montana",0.943506115317414,0.203843913803145,68009,0.586135895676047,0.0117096018735363,0.0606694560669456,0.0659186535764376,0.021,0.0564938846825859
30077,"Powell County","Montana",0.923848439821694,0.222511144130758,63432,0.425200720956906,0.041233140655106,0.0178807947019868,0.108177172061329,0.024,0.076151560178306
30079,"Prairie County","Montana",0.94299674267101,0.325732899022801,45192,0.523618090452261,0.0115163147792706,0.212230215827338,0.188461538461538,0.023,0.0570032573289903
