"FIPS","Tract","County","State","Vacancy.Rate","No.Vehicle","Single.Parent.Household","Multi.Unit.Structures","Mobile.Homes","Owner.Occupied.Housing","Crowded.Housing","Lack.Complete.Plumbing","Median.Home.Value","Median.Monthly.Mortgage","Median.Gross.Rent","No.Home.Broadband","Rent.Burden..40..Income."
16001001100,"Census Tract 11","Ada County","Idaho",0.0674955595026643,0.00625488663017983,0.0833333333333333,0.171847246891652,0.33259325044405,0.543333333333333,0.090952380952381,0,211900,1511,1037,0.0264423076923077,0.199165797705944
16001001201,"Census Tract 12.01","Ada County","Idaho",0.0390728476821192,0.0126291618828932,0.0213645761543763,0.0139072847682119,0,0.769124741557547,0.00413507925568573,0.0117160578911096,368700,1764,1448,0.0366598778004074,0.450746268656716
16001001203,"Census Tract 12.03","Ada County","Idaho",0.107794361525705,0,0.0514250309789343,0.237700386954118,0.0834715312327253,0.569392812887237,0.0192069392812887,0.023543990086741,370000,1360,1437,0.155194637793246,0.320863309352518
16001001204,"Census Tract 12.04","Ada County","Idaho",0.0413396127681842,0.0371057513914657,0.0425764192139738,0.377812663526949,0,0.301855895196507,0.033296943231441,0.027292576419214,281700,1108,1243,0.109008528784648,0.269741985926505
16001001401,"Census Tract 14.01","Ada County","Idaho",0.0623946037099494,0.0210727969348659,0.0872302158273381,0.169477234401349,0,0.511690647482014,0.0134892086330935,0,384300,1480,1096,0.0361192776144477,0.252302025782689
16001001402,"Census Tract 14.02","Ada County","Idaho",0.0405833861762841,0.00793650793650794,0.0237937871777925,0.168674698795181,0,0.385327164573695,0.00660938532716457,0,323700,1223,1221,0.0852404643449419,0.247311827956989
16001001500,"Census Tract 15","Ada County","Idaho",0.0813287514318442,0,0.0317955112219451,0.0223367697594502,0.0120274914089347,0.763715710723192,0.00249376558603491,0.00623441396508728,453600,1694,1153,0.00912646675358542,0.393139841688654
16001001600,"Census Tract 16","Ada County","Idaho",0.0493435943866003,0.0045643153526971,0.0295238095238095,0.0783159800814848,0.01584427342689,0.625714285714286,0.0171428571428571,0,385800,1396,1276,0.114324446452779,0.311704834605598
16001001701,"Census Tract 17.01","Ada County","Idaho",0.179487179487179,0.0104166666666667,0.109375,0.0650887573964497,0.0266272189349112,0.418269230769231,0.0877403846153846,0,297700,1628,1222,0.11587982832618,0.328512396694215
16001001702,"Census Tract 17.02","Ada County","Idaho",0.00167879127028539,0.0104292017649418,0.0908071748878924,0.0962506994963626,0.0363738108561835,0.417600896860987,0.0532511210762332,0,395400,1471,1131,0.0393244873341375,0.360923965351299
16001001800,"Census Tract 18","Ada County","Idaho",0.0717339667458432,0.0048721071863581,0.0199590583418628,0.0356294536817102,0.0508313539192399,0.675025588536336,0.0291709314227226,0,368300,1398,1217,0.0447725648964039,0.280314960629921
16001001900,"Census Tract 19","Ada County","Idaho",0.0305410122164049,0.131049888309754,0.0832583258325833,0.0698080279232112,0.00698080279232112,0.655265526552655,0.0553555355535554,0,380100,1435,1194,0.0309827029081924,0.112271540469974
16001002000,"Census Tract 20","Ada County","Idaho",0.068359375,0.0365853658536585,0.09958071278826,0.1455078125,0.1259765625,0.389937106918239,0.029874213836478,0,323300,1129,1149,0.0798281320669381,0.275773195876289
16001002100,"Census Tract 21","Ada County","Idaho",0.00696864111498258,0,0.0152046783625731,0,0.0255516840882695,0.899415204678363,0.0339181286549708,0,442000,1642,1484,0.0813609467455622,0.197674418604651
16001002223,"Census Tract 22.23","Ada County","Idaho",0.0292911540714704,0.00589753040914117,0.0283645141822571,0,0,0.934821967410984,0.0235365117682559,0,497700,2117,1958,0.0309240622140896,0.138888888888889
16001002225,"Census Tract 22.25","Ada County","Idaho",0,0,0.0503848845346396,0,0.00699790062981106,0.9111266620014,0,0.0384884534639608,426500,1835,2430,0.0353452963567156,0.393700787401575
16001002226,"Census Tract 22.26","Ada County","Idaho",0,0,0.033717834960071,0,0,0.842945874001775,0,0,487900,1816,1223,0.0252865812542145,0
16001002227,"Census Tract 22.27","Ada County","Idaho",0,0,0.0657476139978791,0,0,0.976670201484624,0.0233297985153765,0,493500,1654,0,0.00556379821958453,0
16001002228,"Census Tract 22.28","Ada County","Idaho",0.0485175202156334,0,0.10576015108593,0,0,0.887629839471199,0.0179414542020774,0,392800,1468,2174,0.0140745953553836,0.73109243697479
16001002229,"Census Tract 22.29","Ada County","Idaho",0.0687593423019432,0.0139935414424112,0.0224719101123595,0.00822122571001495,0.0239162929745889,0.841894060995185,0.138041733547352,0,466700,1682,1739,0.0192882368921489,0.279187817258883
16001002230,"Census Tract 22.30","Ada County","Idaho",0.0410783055198973,0.0193110647181628,0.0227576974564926,0,0.00641848523748395,0.912985274431058,0.0140562248995984,0,422500,1636,1807,0.0658006212934199,0.0846153846153846
16001002231,"Census Tract 22.31","Ada County","Idaho",0.0597147950089127,0,0.0274881516587678,0.166666666666667,0.0570409982174688,0.652132701421801,0,0.0369668246445498,476700,1749,1613,0.115675675675676,0.226158038147139
16001002313,"Census Tract 23.13","Ada County","Idaho",0.010669828097214,0,0.0701018573996405,0.043864848844102,0.036158861885003,0.649490713001798,0.0257639304973038,0,358800,1423,1374,0.0426253330104142,0.211965811965812
16001002314,"Census Tract 23.14","Ada County","Idaho",0,0,0.0100286532951289,0.00859598853868195,0.270296084049666,0.821872015281757,0.0171919770773639,0.00955109837631328,387900,1627,1688,0.0569311404301464,0.340482573726542
16001002315,"Census Tract 23.15","Ada County","Idaho",0.0124148978774529,0,0.0742092457420925,0.0556668001601922,0.101722066479776,0.735198702351987,0.0223033252230333,0.0101378751013788,384600,1360,1497,0.0155576382380506,0.237366003062787
16001002316,"Census Tract 23.16","Ada County","Idaho",0.0781928757602085,0.0037037037037037,0.0754005655042413,0.0425716768027802,0.0747176368375326,0.667295004712535,0.00471253534401508,0,341900,1462,1319,0.0159128978224455,0.303116147308782
