FIPS,Tract,County,State,measure,value
16005000800,Census Tract 8,Bannock County,Idaho,Gini Coefficient,0.4221
16005000900,Census Tract 9,Bannock County,Idaho,Gini Coefficient,0.5082
16005001000,Census Tract 10,Bannock County,Idaho,Gini Coefficient,0.3851
16005001102,Census Tract 11.02,Bannock County,Idaho,Gini Coefficient,0.4932
16005001103,Census Tract 11.03,Bannock County,Idaho,Gini Coefficient,0.323
16005001104,Census Tract 11.04,Bannock County,Idaho,Gini Coefficient,0.3783
16005001200,Census Tract 12,Bannock County,Idaho,Gini Coefficient,0.3574
16005001300,Census Tract 13,Bannock County,Idaho,Gini Coefficient,0.4173
16005001400,Census Tract 14,Bannock County,Idaho,Gini Coefficient,0.4015
16005001500,Census Tract 15,Bannock County,Idaho,Gini Coefficient,0.3494
16005001601,Census Tract 16.01,Bannock County,Idaho,Gini Coefficient,0.4348
16005001602,Census Tract 16.02,Bannock County,Idaho,Gini Coefficient,0.4279
16005001603,Census Tract 16.03,Bannock County,Idaho,Gini Coefficient,0.4504
16005001700,Census Tract 17,Bannock County,Idaho,Gini Coefficient,0.3764
16005001900,Census Tract 19,Bannock County,Idaho,Gini Coefficient,0.4171
16005940000,Census Tract 9400,Bannock County,Idaho,Gini Coefficient,0.4695
16005981800,Census Tract 9818,Bannock County,Idaho,Gini Coefficient,0.4263
16007950100,Census Tract 9501,Bear Lake County,Idaho,Gini Coefficient,0.4006
16007950200,Census Tract 9502,Bear Lake County,Idaho,Gini Coefficient,0.4143
16009940000,Census Tract 9400,Benewah County,Idaho,Gini Coefficient,0.4569
16009950100,Census Tract 9501,Benewah County,Idaho,Gini Coefficient,0.3865
16011940000,Census Tract 9400,Bingham County,Idaho,Gini Coefficient,0.5028
16011950101,Census Tract 9501.01,Bingham County,Idaho,Gini Coefficient,0.3546
16011950102,Census Tract 9501.02,Bingham County,Idaho,Gini Coefficient,0.5376
16011950200,Census Tract 9502,Bingham County,Idaho,Gini Coefficient,0.3992
16011950300,Census Tract 9503,Bingham County,Idaho,Gini Coefficient,0.4162
16011950400,Census Tract 9504,Bingham County,Idaho,Gini Coefficient,0.373
16011950501,Census Tract 9505.01,Bingham County,Idaho,Gini Coefficient,0.3094
16011950502,Census Tract 9505.02,Bingham County,Idaho,Gini Coefficient,0.409
16011950600,Census Tract 9506,Bingham County,Idaho,Gini Coefficient,0.354
16011950700,Census Tract 9507,Bingham County,Idaho,Gini Coefficient,0.3925
16013960101,Census Tract 9601.01,Blaine County,Idaho,Gini Coefficient,0.3702
16013960102,Census Tract 9601.02,Blaine County,Idaho,Gini Coefficient,0.382
16013960201,Census Tract 9602.01,Blaine County,Idaho,Gini Coefficient,0.4097
16013960202,Census Tract 9602.02,Blaine County,Idaho,Gini Coefficient,0.4591
16013960301,Census Tract 9603.01,Blaine County,Idaho,Gini Coefficient,0.4878
16013960302,Census Tract 9603.02,Blaine County,Idaho,Gini Coefficient,0.4368
16013960501,Census Tract 9605.01,Blaine County,Idaho,Gini Coefficient,0.5369
16013960502,Census Tract 9605.02,Blaine County,Idaho,Gini Coefficient,0.5239
16015950201,Census Tract 9502.01,Boise County,Idaho,Gini Coefficient,0.3504
16015950202,Census Tract 9502.02,Boise County,Idaho,Gini Coefficient,0.3841
16015950203,Census Tract 9502.03,Boise County,Idaho,Gini Coefficient,0.372
16017950100,Census Tract 9501,Bonner County,Idaho,Gini Coefficient,0.4864
16017950201,Census Tract 9502.01,Bonner County,Idaho,Gini Coefficient,0.4579
16017950202,Census Tract 9502.02,Bonner County,Idaho,Gini Coefficient,0.3486
16017950203,Census Tract 9502.03,Bonner County,Idaho,Gini Coefficient,0.4002
16017950300,Census Tract 9503,Bonner County,Idaho,Gini Coefficient,0.4656
16017950401,Census Tract 9504.01,Bonner County,Idaho,Gini Coefficient,0.4471
16017950402,Census Tract 9504.02,Bonner County,Idaho,Gini Coefficient,0.4407
16017950403,Census Tract 9504.03,Bonner County,Idaho,Gini Coefficient,0.4631
16017950500,Census Tract 9505,Bonner County,Idaho,Gini Coefficient,0.4565
16017950600,Census Tract 9506,Bonner County,Idaho,Gini Coefficient,0.4222
16017950701,Census Tract 9507.01,Bonner County,Idaho,Gini Coefficient,0.4396
16017950702,Census Tract 9507.02,Bonner County,Idaho,Gini Coefficient,0.5476
16017950801,Census Tract 9508.01,Bonner County,Idaho,Gini Coefficient,0.3693
16017950802,Census Tract 9508.02,Bonner County,Idaho,Gini Coefficient,0.4663
16017950901,Census Tract 9509.01,Bonner County,Idaho,Gini Coefficient,0.448
16017950902,Census Tract 9509.02,Bonner County,Idaho,Gini Coefficient,0.3963
16019970100,Census Tract 9701,Bonneville County,Idaho,Gini Coefficient,0.4761
16019970300,Census Tract 9703,Bonneville County,Idaho,Gini Coefficient,0.3514
16019970401,Census Tract 9704.01,Bonneville County,Idaho,Gini Coefficient,0.3794
16019970402,Census Tract 9704.02,Bonneville County,Idaho,Gini Coefficient,0.4187
16019970404,Census Tract 9704.04,Bonneville County,Idaho,Gini Coefficient,0.4284
16019970405,Census Tract 9704.05,Bonneville County,Idaho,Gini Coefficient,0.3141
16019970502,Census Tract 9705.02,Bonneville County,Idaho,Gini Coefficient,0.3339
16019970503,Census Tract 9705.03,Bonneville County,Idaho,Gini Coefficient,0.4664
