FIPS,County,State,pctBB_1000_10,pctBB_100_20,pct5G_7_1,pct5G_35_3,LILATracts_Vehicle
49021,Iron County,Utah,0.7068,1.0,0.7282,0.6337,0.20929303687924378
49023,Juab County,Utah,0.6194,1.0,0.3304,0.2711,0.0
49025,Kane County,Utah,0.4553,1.0,0.3629,0.2415,0.0
49027,Millard County,Utah,0.447,1.0,0.3744,0.2669,0.0
49029,Morgan County,Utah,0.5971,1.0,0.4523,0.3309,0.0
49031,Piute County,Utah,0.3918,1.0,0.5569,0.3398,1.0
49033,Rich County,Utah,0.2397,1.0,0.6439,0.489,0.0
49035,Salt Lake County,Utah,0.8246,1.0,0.9077,0.8259,0.07996859512815872
49037,San Juan County,Utah,0.4519,1.0,0.2251,0.2046,0.37314095449500556
49039,Sanpete County,Utah,0.6392,1.0,0.6228,0.5223,0.0
49041,Sevier County,Utah,0.7099,1.0,0.5291,0.4244,0.0
49043,Summit County,Utah,0.6411,1.0,0.3431,0.2713,0.0
49045,Tooele County,Utah,0.9063,1.0,0.5913,0.4731,0.18724611874686994
49047,Uintah County,Utah,0.7856,1.0,0.5575,0.3678,0.0
49049,Utah County,Utah,0.6392,1.0,0.7549,0.6391,0.008556066058804284
49051,Wasatch County,Utah,0.4312,1.0,0.4906,0.3925,0.0
49053,Washington County,Utah,0.3429,1.0,0.7975,0.6646,0.07625070142875642
49055,Wayne County,Utah,0.7035,1.0,0.3132,0.2357,0.0
49057,Weber County,Utah,0.3624,1.0,0.7116,0.5751,0.03222938995276071
56001,Albany County,Wyoming,0.7698,1.0,0.4921,0.2386,0.0
56003,Big Horn County,Wyoming,0.3451,1.0,0.4071,0.1922,0.0
56005,Campbell County,Wyoming,0.095,1.0,0.5233,0.1989,0.1256696948520848
56007,Carbon County,Wyoming,0.1186,1.0,0.2287,0.1116,0.21681277395115842
56009,Converse County,Wyoming,0.4231,1.0,0.4253,0.2003,0.0
56011,Crook County,Wyoming,0.216,1.0,0.3564,0.2315,0.0
56013,Fremont County,Wyoming,0.0739,1.0,0.1179,0.0445,0.0
56015,Goshen County,Wyoming,0.2636,1.0,0.4453,0.2053,0.0
56017,Hot Springs County,Wyoming,0.6878,1.0,0.1481,0.0597,0.0
56019,Johnson County,Wyoming,0.0448,1.0,0.5155,0.1739,0.0
56021,Laramie County,Wyoming,0.2497,1.0,0.7763,0.4274,0.05836172024696615
56023,Lincoln County,Wyoming,0.691,1.0,0.1258,0.0758,0.0
56025,Natrona County,Wyoming,0.2867,1.0,0.5447,0.2307,0.06695845309642018
56027,Niobrara County,Wyoming,0.5497,1.0,0.2976,0.1776,0.0
56029,Park County,Wyoming,0.5763,1.0,0.2094,0.1167,0.0
56031,Platte County,Wyoming,0.0326,1.0,0.6984,0.3413,0.0
56033,Sheridan County,Wyoming,0.3295,1.0,0.3997,0.1912,0.0
56035,Sublette County,Wyoming,0.2107,1.0,0.1093,0.0455,0.0
56037,Sweetwater County,Wyoming,0.0281,1.0,0.2181,0.0902,0.13754172989377844
56039,Teton County,Wyoming,0.3673,1.0,0.1156,0.0926,0.0
56041,Uinta County,Wyoming,0.1242,1.0,0.357,0.1475,0.34324465310380803
56043,Washakie County,Wyoming,0.8296,1.0,0.1995,0.1171,0.0
56045,Weston County,Wyoming,0.4473,1.0,0.435,0.2415,0.0
