FIPS,County,State,Insurance Coverage,Medicaid Enrollment,Household Income,Annual Labor Force Participation Rate,Annual Unemployment Rate,Below Poverty,Received Public Assistance,Monthly Unemployment Rate (Jun),Uninsured
30019,Daniels County,Montana,0.9576158940397351,0.13245033112582782,47378.0,0.6071700991609459,0.01507537688442211,0.11936339522546419,0.025210084033613446,0.018000000000000002,0.04238410596026487
30021,Dawson County,Montana,0.9603110131136127,0.13682256005570384,68168.0,0.6342068965517241,0.03001304915180513,0.0338628762541806,0.059416445623342175,0.028999999999999998,0.039688986886387334
30023,Deer Lodge County,Montana,0.9283102493074792,0.3216620498614958,46436.0,0.5164147378365612,0.03796021038188886,0.16130453944468928,0.21079335793357934,0.026000000000000002,0.07168975069252082
30025,Fallon County,Montana,0.9350331819769473,0.2287809989521481,79750.0,0.6437923250564334,0.0,0.09358288770053476,0.019759450171821305,0.016,0.06496681802305271
30027,Fergus County,Montana,0.8590508414210667,0.20389991986466033,58321.0,0.6071165385830087,0.030518467140627708,0.07368764264753831,0.09969147705360586,0.025,0.1409491585789333
30029,Flathead County,Montana,0.9118287752675387,0.208,68025.0,0.6255428644614435,0.03171648736179876,0.056567419202384846,0.08238838544384874,0.03,0.0881712247324613
30031,Gallatin County,Montana,0.9259495369749027,0.13315326801771574,83434.0,0.7103998064964776,0.020670184996027692,0.03795501627700503,0.04497221874086143,0.02,0.07405046302509732
30033,Garfield County,Montana,0.84472049689441,0.15320910973084886,61786.0,0.7006535947712418,0.0,0.08,0.03640776699029126,0.027000000000000003,0.15527950310559002
30035,Glacier County,Montana,0.7003069277988893,0.3999561531715873,41078.0,0.5325437898089171,0.07942440665296206,0.24155104944859482,0.22131736526946108,0.054000000000000006,0.29969307220111074
30037,Golden Valley County,Montana,0.8703923900118906,0.21997621878715815,54792.0,0.5310344827586206,0.012987012987012988,0.08374384236453201,0.05070422535211268,0.026000000000000002,0.12960760998810938
30039,Granite County,Montana,0.9372183838990688,0.24301592069690597,53917.0,0.47875257025359835,0.0572655690765927,0.06529209621993128,0.08711839166046165,0.031000000000000003,0.06278161610093125
30041,Hill County,Montana,0.9281853761570479,0.3078834565446978,58427.0,0.6318757662443809,0.0394515586599405,0.13210296260320545,0.15921518173045995,0.027999999999999997,0.07181462384295212
30043,Jefferson County,Montana,0.9430887583753825,0.18347257837703698,73875.0,0.5748591758078861,0.033522434244455904,0.02471590909090909,0.07156590472121342,0.027000000000000003,0.05691124162461747
30045,Judith Basin County,Montana,0.9480137322216773,0.27611574301128006,58750.0,0.6261510128913443,0.023529411764705882,0.11265164644714037,0.08129175946547884,0.025,0.051986267778322715
30047,Lake County,Montana,0.8457558919333206,0.2768410295714377,58009.0,0.5660279853712832,0.06482196783481986,0.13280573760356126,0.1400829875518672,0.033,0.15424410806667943
30049,Lewis And Clark County,Montana,0.9452558876811594,0.1893257472826087,71967.0,0.6496023339006008,0.034538066723695464,0.058115125400508234,0.09008949506291074,0.025,0.054744112318840576
