"FIPS","County","State","measure","value"
30093,"Silver Bow County","Montana","Total",35589
30095,"Stillwater County","Montana","Total",9052
30097,"Sweet Grass County","Montana","Total",3713
30099,"Teton County","Montana","Total",6291
30101,"Toole County","Montana","Total",5028
30103,"Treasure County","Montana","Total",761
30105,"Valley County","Montana","Total",7540
30107,"Wheatland County","Montana","Total",2049
30109,"Wibaux County","Montana","Total",1148
30111,"Yellowstone County","Montana","Total",167340
32001,"Churchill County","Nevada","Total",25614
32003,"Clark County","Nevada","Total",2293764
32005,"Douglas County","Nevada","Total",49624
32007,"Elko County","Nevada","Total",53852
32009,"Esmeralda County","Nevada","Total",962
32011,"Eureka County","Nevada","Total",1660
32013,"Humboldt County","Nevada","Total",17299
32015,"Lander County","Nevada","Total",5745
32017,"Lincoln County","Nevada","Total",4452
32019,"Lyon County","Nevada","Total",60630
32021,"Mineral County","Nevada","Total",4557
32023,"Nye County","Nevada","Total",53207
32027,"Pershing County","Nevada","Total",6505
32029,"Storey County","Nevada","Total",4139
32031,"Washoe County","Nevada","Total",491770
32033,"White Pine County","Nevada","Total",8856
32510,"Carson City","Nevada","Total",58364
49001,"Beaver County","Utah","Total",7172
49003,"Box Elder County","Utah","Total",59725
49005,"Cache County","Utah","Total",137031
49007,"Carbon County","Utah","Total",20446
49009,"Daggett County","Utah","Total",747
49011,"Davis County","Utah","Total",366742
49013,"Duchesne County","Utah","Total",19932
49015,"Emery County","Utah","Total",9968
49017,"Garfield County","Utah","Total",5170
49019,"Grand County","Utah","Total",9697
49021,"Iron County","Utah","Total",60201
49023,"Juab County","Utah","Total",12273
49025,"Kane County","Utah","Total",7996
49027,"Millard County","Utah","Total",13179
49029,"Morgan County","Utah","Total",12585
49031,"Piute County","Utah","Total",1705
49033,"Rich County","Utah","Total",2588
49035,"Salt Lake County","Utah","Total",1184689
49037,"San Juan County","Utah","Total",14466
49039,"Sanpete County","Utah","Total",29209
49041,"Sevier County","Utah","Total",21854
49043,"Summit County","Utah","Total",42709
49045,"Tooele County","Utah","Total",76648
49047,"Uintah County","Utah","Total",36458
49049,"Utah County","Utah","Total",683622
49051,"Wasatch County","Utah","Total",35808
49053,"Washington County","Utah","Total",189827
49055,"Wayne County","Utah","Total",2557
49057,"Weber County","Utah","Total",266183
56001,"Albany County","Wyoming","Total",37713
56003,"Big Horn County","Wyoming","Total",11737
56005,"Campbell County","Wyoming","Total",47018
56007,"Carbon County","Wyoming","Total",14549
56009,"Converse County","Wyoming","Total",13759
56011,"Crook County","Wyoming","Total",7339
56013,"Fremont County","Wyoming","Total",39472
56015,"Goshen County","Wyoming","Total",12587
