"FIPS","Tract","County","State","PM25","Lead.Paint","Diesel.PM","Toxics.Release.to.Air","Traffic.Proximity","Water.Discharge","Superfund.Proximity","RMP.Proximity","Hazardous.Waste.Proximity","Ozone","Underground.Storage.Tanks","Nitrogen.Dioxide","Drinking.Water.Noncompliance"
32003005422,"Census Tract 0054.22","Clark County","Nevada",7.92986092896175,0.133294864396999,0.390592770639277,247.016161499033,797322.728723736,230737.30780153,0,1.51016175465998,2.57347434708154,67.93636,1.98025116547026,11.5182394114208,0
32003005423,"Census Tract 0054.23","Clark County","Nevada",7.86001803278689,0.046287367405979,0.379713725179397,106.746680803552,672740.528560839,192311.068961713,0,1.31050257893993,2.29278300293112,67.78934,0.891424953468163,11.64068221234,0
32003005432,"Census Tract 0054.32","Clark County","Nevada",7.7353,0,0.366599089684313,60.4310716350287,492012.995703302,140787.632510684,0,0.903456652677977,1.56537832102024,67.65875,0.58545293244722,11.1681983560741,0
32003005433,"Census Tract 0054.33","Clark County","Nevada",7.6010849726776,0.015239802779023,0.317635905370641,40.5496554218887,442147.539324886,101753.765566731,0,0.676433070221687,1.02620826679529,67.45537,0.301083827122454,9.9706580390842,0
32003005434,"Census Tract 0054.34","Clark County","Nevada",7.78873442622951,0,0.380725143091441,70.0016065901258,511534.348133979,189483.256742378,0,1.10741590911821,1.87793793141437,67.6374,0,9.54281935622593,0
32003005435,"Census Tract 0054.35","Clark County","Nevada",7.66880983606557,0,0.282992248381079,90.6965804744433,581867.626747833,186083.518156534,0,0.980260969543567,1.41339882207914,67.27235,0.156717577406326,7.43891034145587,0
32003005437,"Census Tract 0054.37","Clark County","Nevada",7.92489289617486,0,0.199553541514685,195.5543741,282883.558932417,327195.874542848,0,1.1485404013977,1.05178339044596,67.5132,0.068996884441414,8.91703224182129,0
32003005438,"Census Tract 0054.38","Clark County","Nevada",8.02220928961749,0.039172209903917,0.42305263226844,2715.23197141922,1009803.94894247,353103.585799454,0,2.07338467042934,3.6862906322499,68.08138,3.25718985999254,12.1956385345535,0
32003005439,"Census Tract 0054.39","Clark County","Nevada",8.16842732240437,0.053799596503026,0.475037559640907,2395.03200393795,992524.946953053,675765.628974399,0,1.65192462698252,3.33224140874219,68.26805,2.83490443175371,11.2591456908286,0
32003005440,"Census Tract 0054.40","Clark County","Nevada",8.27768387978142,0,0.55461416355539,686.220838111062,1322113.84789405,820870.818073008,0,1.04318169009064,3.41494430659091,68.31994,0.843793158639432,11.3352322050968,0
