"FIPS","Tract","County","State","Gini.Coefficient","Economic.Segregation","Racial.Economic.Segregation","Racial.Segregation","Gender.Pay.Gap","Uninsured.Children","Uninsured..Black.","Uninsured..Hispanic.","Living.Below.Poverty..Black.","Living.Below.Poverty..Hispanic.","Lack_English_Prof"
49035111106,"Census Tract 1111.06","Salt Lake County","Utah",0.4455,0.151872399445215,0.219833564493759,0.833104584133955,0.141785456764102,0.016359918200409,0.214285714285714,0.267477203647416,1,0,0.00780346820809249
49035111107,"Census Tract 1111.07","Salt Lake County","Utah",0.4741,0.229150428682775,0.268121590023383,0.762889983579639,0.234708616750269,0.00603621730382294,0,0.456953642384106,1,0,0.00238014280856851
49035111108,"Census Tract 1111.08","Salt Lake County","Utah",0.4584,0.20583596214511,0.316246056782334,0.845333333333333,0.409119798234552,0,0,0,NA,0,0.0326049254249046
49035111109,"Census Tract 1111.09","Salt Lake County","Utah",0.4601,0.0490129339686862,0.240299523485364,0.901110713006091,0.0767599354107922,0.0836575875486381,NA,0,NA,0,0.0106788710907704
49035111201,"Census Tract 1112.01","Salt Lake County","Utah",0.397,0.0617399438727783,0.149672591206735,0.873778155546111,-0.087949524270279,0,NA,0,NA,0,0.00689061154177433
49035111202,"Census Tract 1112.02","Salt Lake County","Utah",0.4043,0.22917897223863,0.238038984051979,0.816503305219968,0.441517015914818,0,0,0.0918727915194346,0,0,0
49035111302,"Census Tract 1113.02","Salt Lake County","Utah",0.4049,0.255770136599152,0.351860574658502,0.837475149105368,0.250034524884474,0.0540915395284327,NA,0.0285714285714286,NA,0,0.00266666666666667
49035111304,"Census Tract 1113.04","Salt Lake County","Utah",0.4659,0.376048817696415,0.418764302059497,0.8785839672323,-0.140533703463252,0.0148849797023004,NA,0,NA,0,0
49035111305,"Census Tract 1113.05","Salt Lake County","Utah",0.3551,0.379237288135593,0.419491525423729,0.853146853146853,0.2639834900422,0,0.285714285714286,0,NA,0,0.0119730606136194
49035111306,"Census Tract 1113.06","Salt Lake County","Utah",0.4283,0.234856535600425,0.24442082890542,0.744290192566055,0.309510609344287,0,0,0.507042253521127,0,NA,0
49035111400,"Census Tract 1114","Salt Lake County","Utah",0.4287,-0.0143491629654937,0.141441749231295,0.587964897618053,-0.104428528195299,0.137996219281664,0.161290322580645,0.398195149464185,0,0.185064935064935,0.0505330801811012
49035111500,"Census Tract 1115","Salt Lake County","Utah",0.3978,-0.186666666666667,0.0408333333333333,0.321545752825374,0.0276572782868146,0.225140712945591,0.0909090909090909,0.326492537313433,0,0.290076335877863,0.0910151691948658
49035111601,"Census Tract 1116.01","Salt Lake County","Utah",0.5279,-0.0615312353217473,0.0892437764208549,0.519607843137255,0.384211199000241,0.173913043478261,0.172897196261682,0.134868421052632,0,0.130081300813008,0.0881235154394299
49035111602,"Census Tract 1116.02","Salt Lake County","Utah",0.4236,-0.110869565217391,0.05,0.42128425685137,0.0760697931470078,0.114130434782609,0.560747663551402,0.151778656126482,0,0.165413533834586,0.0729957805907173
49035111701,"Census Tract 1117.01","Salt Lake County","Utah",0.343,0.0009765625,0.06005859375,0.468098286186248,0.1508487449879,0.263628239499553,0,0.12,NA,0.0176470588235294,0.0434315201032036
49035111702,"Census Tract 1117.02","Salt Lake County","Utah",0.4172,0.064696892511462,0.132450331125828,0.484220716360116,0.0833496892378148,0.2005444646098,0,0.378762067007382,0,0.0862068965517241,0.0359077231695085
49035111801,"Census Tract 1118.01","Salt Lake County","Utah",0.3997,0.0128417564208782,0.150787075393538,0.821414615084017,0.167364451956833,0.0538720538720539,NA,0.147902869757174,NA,0.0952380952380952,0.0115853658536585
49035111802,"Census Tract 1118.02","Salt Lake County","Utah",0.4133,0.041005291005291,0.19973544973545,0.842960913178831,-0.00188190659721177,0,0,0,NA,0,0.0507246376811594
49035111903,"Census Tract 1119.03","Salt Lake County","Utah",0.4087,0.022892238972641,0.142936906756002,0.74353562005277,0.174341957759742,0,0,0,0,0.217948717948718,0.0132085855806274
49035111904,"Census Tract 1119.04","Salt Lake County","Utah",0.414,-0.0575774035850081,0.109722976643129,0.657404834676299,0.288138173464163,0,0.118279569892473,0.208976157082749,0,0.248979591836735,0.0234307202776974
49035111905,"Census Tract 1119.05","Salt Lake County","Utah",0.4733,0.0188679245283019,0.130965593784684,0.641001191895113,-0.0828335911508551,0.0285714285714286,0,0.187861271676301,NA,0,0.0219443735646849
49035111906,"Census Tract 1119.06","Salt Lake County","Utah",0.4374,-0.147192716236722,0.020738492665655,0.383140927902418,0.0577963446475196,0.129916567342074,0.28500823723229,0.257675438596491,0,0.263157894736842,0.0679860302677532
49035112001,"Census Tract 1120.01","Salt Lake County","Utah",0.5313,-0.0885416666666667,0.140625,0.651199494949495,0.187085701689471,0.0283333333333333,0.175572519083969,0.167953667953668,0,0.0222222222222222,0.00548741123305358
49035112002,"Census Tract 1120.02","Salt Lake County","Utah",0.428,0.0416276894293732,0.134237605238541,0.734262866516301,0.0296293500415188,0.243534482758621,0,0.243341404358354,NA,0,0
49035112101,"Census Tract 1121.01","Salt Lake County","Utah",0.4023,-0.0607097050021377,0.0448909790508764,0.327802595192512,0.339189618980981,0.0192878338278932,0,0.0661559888579387,0,0.307174887892377,0.0612152699344929
49035112102,"Census Tract 1121.02","Salt Lake County","Utah",0.323,0.213031161473088,0.218130311614731,0.744726187939484,0.0135332665429402,0.312138728323699,0,0.476244343891403,0,0,0.0197088465845465
49035112201,"Census Tract 1122.01","Salt Lake County","Utah",0.3653,0.210555867490174,0.263896687254352,0.850576851507257,0.144988199670481,0,NA,0.135391923990499,NA,0,0.00132225160559124
49035112202,"Census Tract 1122.02","Salt Lake County","Utah",0.385,0.137972405518896,0.190161967606479,0.735380116959064,-0.0630029891929178,0.0131752305665349,0,0.14540059347181,NA,0.038961038961039,0.00183630640083945
49035112301,"Census Tract 1123.01","Salt Lake County","Utah",0.3868,-0.0280495759947815,0.157208088714938,0.734952766531714,0.0917790497793688,0.0718954248366013,0,0.113902847571189,0,0.178571428571429,0.017841726618705
49035112302,"Census Tract 1123.02","Salt Lake County","Utah",0.4269,0.123659756969264,0.195854181558256,0.899089935760171,0.428084423139573,0.0473225404732254,1,0.07,NA,0,0.0299121844127333
49035112402,"Census Tract 1124.02","Salt Lake County","Utah",0.4173,-0.033532041728763,0.151639344262295,0.581434599156118,-0.0212765957446808,0.117223650385604,0,0.389858233369684,0,0.536649214659686,0.0851739788199697
49035112404,"Census Tract 1124.04","Salt Lake County","Utah",0.3868,-0.169983416252073,-0.0153399668325041,0.517219655606888,-0.072704340187842,0.0937840785169029,0.911917098445596,0.2464046021093,1,0,0.0577010449795547
49035112405,"Census Tract 1124.05","Salt Lake County","Utah",0.4583,0.0209545983701979,0.113310050446255,0.646252447925939,0.106735537798184,0.0852490421455939,0.766990291262136,0.27741935483871,NA,0,0.0289498580889309
49035112406,"Census Tract 1124.06","Salt Lake County","Utah",0.3752,-0.112747875354108,0.0441926345609065,0.46031746031746,-0.0179263887965611,0.365635179153094,NA,0.550774526678141,NA,0.243243243243243,0.0059370160041301
49035112501,"Census Tract 1125.01","Salt Lake County","Utah",0.3721,0.0776762402088773,0.179503916449086,0.77397809243922,0.253709845791984,0,0,0.222760290556901,0,0.125,0.0301478953356086
49035112503,"Census Tract 1125.03","Salt Lake County","Utah",0.4029,0.0582066072364971,0.178814892501311,0.632786885245902,0.189606304372757,0.103744149765991,0.550335570469799,0.264568764568765,0,0,0.0369474378711238
49035112504,"Census Tract 1125.04","Salt Lake County","Utah",0.4426,0.00206896551724138,0.169655172413793,0.679447322970639,0.31217068549329,0.197505197505198,0,0.137440758293839,0,0.134020618556701,0.0505638413968716
49035112505,"Census Tract 1125.05","Salt Lake County","Utah",0.3217,-0.0616365568544102,0.0595111583421892,0.776619508562919,-0.143855659726753,0,0,0.296979865771812,0,0,0.0331001076426265
49035112604,"Census Tract 1126.04","Salt Lake County","Utah",0.3593,0.203776041666667,0.2578125,0.673538073201514,0.206025753219152,0.0380395025603511,0,0,NA,0,0.0361526444989958
49035112608,"Census Tract 1126.08","Salt Lake County","Utah",0.391,0.170313424009462,0.232998225901833,0.848415425735013,0.391377899045021,0,0,0.0462287104622871,1,0,0.0372509960159363
49035112609,"Census Tract 1126.09","Salt Lake County","Utah",0.4106,0.451051051051051,0.438438438438438,0.881578947368421,0.40060784598469,0.0144827586206897,0,0,0,0,0.00671563483735572
49035112610,"Census Tract 1126.10","Salt Lake County","Utah",0.4039,0.0293242668933277,0.124521886952826,0.655489279380945,0.161957119296317,0.0622796709753232,0,0.044543429844098,0,0,0.00817960320222764
49035112611,"Census Tract 1126.11","Salt Lake County","Utah",0.3492,0.189974726200505,0.224515585509688,0.816332419564276,0.0761594055851271,0.0631578947368421,NA,0,NA,0,0
49035112612,"Census Tract 1126.12","Salt Lake County","Utah",0.3513,0.106372045220966,0.178828365878726,0.793691942104126,0.101795996709624,0.0844155844155844,NA,0,NA,0,0.0365617433414044
49035112613,"Census Tract 1126.13","Salt Lake County","Utah",0.2929,0.413427561837456,0.391048292108363,0.75,0.293433036579388,0.0176082171680117,NA,0.0548780487804878,NA,0,0.0214346349745331
49035112614,"Census Tract 1126.14","Salt Lake County","Utah",0.4374,0.506420545746388,0.499197431781701,0.897649363369246,0.105089567497889,0.0398340248962656,0,0,NA,NA,0
49035112615,"Census Tract 1126.15","Salt Lake County","Utah",0.2854,0.579427083333333,0.57421875,0.89747572815534,0.273779265596264,0.0319888734353268,NA,0,NA,0,0.00288421920065925
